structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
12,0,75,19.850617037188858,14.85693233660171,90.83349953827823,43,x,0.307838488169103,0.08563283599923609,0.04525812464969802,14.15501289276895,-92.75783722282596,-11165.412568271571,12.025301812172984
13,0,81,20.318753799888064,15.197257321030543,77.21119365477591,2,y,0.39785085339571974,0.10851337561579269,0.02605638117339755,10.664234144221739,-92.50967402753541,-11165.161015490621,8.635716152639361
14,0,87,16.739079979882852,12.614583447216713,74.57458410419848,67,z,0.3609661268417023,0.09792841341838368,0.012147974944435522,23.39521220463895,-92.90299282204592,-11165.558876535542,13.177966562579968
15,0,93,18.606794008598648,13.48114440703543,90.71770524094359,41,y,0.2823975744329234,0.07623202840641714,0.027533887166804195,8.608132756405203,-93.31749820418767,-11165.957692836095,-2.511115026209154
16,0,99,33.16409841107867,21.97078956035398,244.51677424837027,23,x,0.2306368358021004,0.06958354467450355,0.021109435593435037,26.083165074775728,-92.14483733330971,-11164.783557813436,-3.9852668069215724
17,0,105,43.949770639724186,34.03702353021393,148.01939032210072,1,y,0.23689354509232805,0.05680182525754063,0.0457889399669054,61.64481514582052,-92.60233564236958,-11165.247045097054,2.003707750191097
18,0,111,31.610598232765,24.213160470336806,96.22879447360133,47,y,0.24153644365225668,0.06275408434722109,0.030390003551678986,22.84331076246956,-92.69484367983618,-11165.319485066271,-18.06436049810145
19,0,117,25.238846955042366,19.032902724438333,73.98328782032681,58,y,0.23522442432605867,0.06020483276481783,0.011597270930054776,28.137604743613483,-92.69277367555716,-11165.3232757481,-12.203674390548258
20,1,3,21.230799212348963,16.40016427493192,67.14510265732865,54,y,0.2850604268975543,0.07790346228291482,0.0202954014551694,24.622641341037617,-92.95766239846576,-11165.600663833233,0.295687834295677
21,1,9,25.36038660000512,18.944899219178453,100.89106339842769,71,x,0.3292532758409179,0.07085233884738683,0.029043912086434632,11.17764196078098,-92.8689756601038,-11165.52038929843,8.707891392987221
22,1,15,23.226414582179157,18.51155457870517,84.8182293746973,10,x,0.2821159721021193,0.06621383772985301,0.003826874581148754,5.158438143694583,-92.98480414759001,-11165.617576660705,-9.933233819538145
23,1,21,23.540947515097635,17.143484340934716,90.77554689987677,20,x,0.2787005650539856,0.07205721529499923,0.021031659387575955,12.606918524514256,-92.6557595459814,-11165.298414747516,-0.05054539906268474
24,1,27,21.738209014079523,17.37441542661194,67.93999552799512,17,y,0.3519210086630643,0.0810905842176458,0.018665181908091223,32.16384025749945,-93.0553343819673,-11165.712404523882,14.364394981384976
25,1,33,21.238818826592254,16.768032139471373,56.01695956767916,36,x,0.3434046237521991,0.08019000561349916,0.01812705781264292,22.074155067301675,-92.58408220383483,-11165.220641347061,-6.146603707748
26,1,39,19.672729518977114,15.769025690689258,58.587727675993975,52,x,0.3144540090245093,0.06940834356332855,0.018018238874479706,14.21385394637166,-93.19225030365371,-11165.83474296009,-0.21309049589035567
27,1,45,22.159130752609826,16.47927158049958,72.39108813477213,11,x,0.4718175633224611,0.10188070944977774,0.03240962672885512,16.016065878540527,-92.68254658605338,-11165.335728221584,10.47588859728421
28,1,51,31.167367116584817,21.974033423088876,160.69675916674785,27,y,0.4406359143968916,0.09951013516598982,0.02609447836098079,14.645474655160207,-92.27274975807755,-11164.901401609315,-14.053895696633845
29,1,57,18.5933988617418,14.766881459478288,45.65375446045516,38,y,0.380053154415947,0.0878690220586084,0.030547142438977076,16.9008476384922,-92.79879634931062,-11165.440203200626,-1.2988956186745781
30,1,63,20.489567935898137,15.954589108945719,70.86214985268046,11,y,0.32607866284953807,0.08904531683461146,0.022847127901612366,26.628852367551758,-92.22091676522508,-11164.864720119638,1.097607479096041
31,1,69,19.032153135880744,14.726658747073047,58.38451206134398,41,y,0.2721321506348115,0.0786750407821299,0.02231185121531011,13.383005246710637,-93.00465892455678,-11165.645103968736,-2.260702754938393
32,1,75,26.538510650897997,20.450091306427947,92.51847844309968,51,x,0.24536213531703094,0.0660725158536592,0.005957913304051972,19.6191478779283,-92.84193427022669,-11165.471400780114,-13.239237046946073
33,1,81,19.722933789404394,14.786680580580533,66.16764635092493,11,x,0.33805234670686063,0.0727153308594522,0.015105555351574764,22.69904505302175,-93.07880742374395,-11165.719755407119,-1.757763558998704
34,1,87,19.274715477056937,15.490276300876491,74.45626488881496,70,x,0.2604408682020586,0.07040781557640584,0.0027299182539559444,16.718227974631226,-92.8373522720251,-11165.47649094158,-3.5670773777383147
