series,kgrid,signed_distance,frequency_cm-1,K_reference_cm-1,rise_from_K_cm-1,status
MLIP_plus_full_EPC_LR,,-0.0025,1283.793279552827,1282.182972,1.6103075528269528,model_curve
MLIP_plus_full_EPC_LR,,-0.002,1283.4657224655398,1282.182972,1.2827504655397206,model_curve
MLIP_plus_full_EPC_LR,,-0.0015,1283.1409932258262,1282.182972,0.9580212258260872,model_curve
MLIP_plus_full_EPC_LR,,-0.001,1282.8113514514077,1282.182972,0.6283794514076817,model_curve
MLIP_plus_full_EPC_LR,,-0.0005,1282.486231399371,1282.182972,0.30325939937097246,model_curve
MLIP_plus_full_EPC_LR,,0.0,1282.182972,1282.182972,0.0,model_curve
MLIP_plus_full_EPC_LR,,0.0005,1282.4789893681564,1282.182972,0.2960173681562992,model_curve
MLIP_plus_full_EPC_LR,,0.001,1282.8156239208759,1282.182972,0.6326519208757873,model_curve
MLIP_plus_full_EPC_LR,,0.0015,1283.1459545359496,1282.182972,0.9629825359495499,model_curve
MLIP_plus_full_EPC_LR,,0.002,1283.4728145292586,1282.182972,1.2898425292585216,model_curve
MLIP_plus_full_EPC_LR,,0.0025,1283.7978769135154,1282.182972,1.6149049135153746,model_curve
MLIP_plus_full_EPC_LR,,0.003,1284.1232928253312,1282.182972,1.9403208253311277,model_curve
MLIP_plus_full_EPC_LR,,0.0035,1284.4464739150576,1282.182972,2.2635019150575317,model_curve
MLIP_plus_full_EPC_LR,,0.004,1284.7670056249635,1282.182972,2.5840336249634674,model_curve
MLIP_plus_full_EPC_LR,,0.0045000000000000005,1285.0855650214812,1282.182972,2.9025930214811524,model_curve
MLIP_plus_full_EPC_LR,,0.005,1285.4035435260364,1282.182972,3.2205715260363377,model_curve
MLIP_plus_full_EPC_LR,,0.0055,1285.7195164971954,1282.182972,3.5365444971953366,model_curve
MLIP_plus_full_EPC_LR,,0.006,1286.0332600263753,1282.182972,3.8502880263752104,model_curve
MLIP_plus_full_EPC_LR,,0.006500000000000001,1286.3449216208076,1282.182972,4.161949620807491,model_curve
MLIP_plus_full_EPC_LR,,0.007,1286.655751345927,1282.182972,4.472779345926938,model_curve
MLIP_plus_full_EPC_LR,,0.0075,1286.9645670349694,1282.182972,4.781595034969314,model_curve
MLIP_plus_full_EPC_LR,,0.008,1287.2714511412426,1282.182972,5.0884791412424875,model_curve
MLIP_plus_full_EPC_LR,,0.0085,1287.5758908710031,1282.182972,5.392918871003076,model_curve
MLIP_plus_full_EPC_LR,,0.009000000000000001,1287.8798879713036,1282.182972,5.696915971303497,model_curve
MLIP_plus_full_EPC_LR,,0.0095,1288.1816118219529,1282.182972,5.998639821952793,model_curve
MLIP_plus_full_EPC_LR,,0.01,1288.481321135912,1282.182972,6.298349135911849,model_curve
MLIP_plus_full_EPC_LR,,0.0105,1288.779163048939,1282.182972,6.596191048938863,model_curve
MLIP_plus_full_EPC_LR,,0.011,1289.0760146087316,1282.182972,6.893042608731548,model_curve
MLIP_plus_full_EPC_LR,,0.0115,1289.3706959248293,1282.182972,7.187723924829243,model_curve
MLIP_plus_full_EPC_LR,,0.012,1289.6637793555387,1282.182972,7.480807355538673,model_curve
MLIP_plus_full_EPC_LR,,0.0125,1289.9543607400324,1282.182972,7.771388740032307,model_curve
MLIP_plus_full_EPC_LR,,0.013000000000000001,1290.2441748200417,1282.182972,8.061202820041672,model_curve
MLIP_plus_full_EPC_LR,,0.0135,1290.53188931083,1282.182972,8.348917310829847,model_curve
MLIP_plus_full_EPC_LR,,0.014,1290.8180298220475,1282.182972,8.635057822047429,model_curve
MLIP_plus_full_EPC_LR,,0.0145,1291.1017796611416,1282.182972,8.9188076611415,model_curve
MLIP_plus_full_EPC_LR,,0.015,1291.3845161460533,1282.182972,9.201544146053266,model_curve
MLIP_plus_full_EPC_LR,,0.0155,1291.6652914907881,1282.182972,9.482319490788086,model_curve
MLIP_plus_full_EPC_LR,,0.016,1291.9446028555876,1282.182972,9.761630855587555,model_curve
MLIP_plus_full_EPC_LR,,0.0165,1292.221075067202,1282.182972,10.038103067201973,model_curve
MLIP_plus_full_EPC_LR,,0.017,1292.4972205816748,1282.182972,10.314248581674747,model_curve
MLIP_plus_full_EPC_LR,,0.0175,1292.771007232008,1282.182972,10.588035232007996,model_curve
MLIP_plus_full_EPC_LR,,0.018000000000000002,1293.0435844183621,1282.182972,10.860612418362052,model_curve
MLIP_plus_full_EPC_LR,,0.0185,1293.313389066574,1282.182972,11.130417066573955,model_curve
MLIP_plus_full_EPC_LR,,0.019,1293.5817031173071,1282.182972,11.39873111730708,model_curve
MLIP_plus_full_EPC_LR,,0.0195,1293.8493043995081,1282.182972,11.666332399508065,model_curve
MLIP_plus_full_EPC_LR,,0.02,1294.1150567949564,1282.182972,11.932084794956381,model_curve
MLIP_plus_full_EPC_LR,,0.0205,1294.3778593253444,1282.182972,12.194887325344325,model_curve
MLIP_plus_full_EPC_LR,,0.021,1294.6399972927368,1282.182972,12.457025292736716,model_curve
MLIP_plus_full_EPC_LR,,0.021500000000000002,1294.9000432494076,1282.182972,12.717071249407581,model_curve
MLIP_plus_full_EPC_LR,,0.022,1295.1591512110144,1282.182972,12.976179211014369,model_curve
MLIP_plus_full_EPC_LR,,0.0225,1295.414649451841,1282.182972,13.231677451840824,model_curve
MLIP_plus_full_EPC_LR,,0.023,1295.6707729854609,1282.182972,13.487800985460808,model_curve
MLIP_plus_full_EPC_LR,,0.0235,1295.92401678405,1282.182972,13.741044784050018,model_curve
MLIP_plus_full_EPC_LR,,0.024,1296.1761349949406,1282.182972,13.993162994940576,model_curve
MLIP_plus_full_EPC_LR,,0.0245,1296.4257071495895,1282.182972,14.242735149589407,model_curve
MLIP_plus_full_EPC_LR,,0.025,1296.6744572806601,1282.182972,14.491485280660072,model_curve
MLIP_plus_full_EPC_LR,,0.025500000000000002,1296.9209431710728,1282.182972,14.737971171072786,model_curve
MLIP_plus_full_EPC_LR,,0.026000000000000002,1297.1665878907565,1282.182972,14.983615890756482,model_curve
MLIP_plus_full_EPC_LR,,0.0265,1297.4092686251463,1282.182972,15.226296625146233,model_curve
MLIP_plus_full_EPC_LR,,0.027,1297.6512060902262,1282.182972,15.468234090226133,model_curve
MLIP_plus_full_EPC_LR,,0.0275,1297.8908262040916,1282.182972,15.707854204091518,model_curve
MLIP_plus_full_EPC_LR,,0.028,1298.130367990633,1282.182972,15.947395990632913,model_curve
MLIP_plus_full_EPC_LR,,0.0285,1298.3663592117882,1282.182972,16.18338721178816,model_curve
MLIP_plus_full_EPC_LR,,0.029,1298.6018532512162,1282.182972,16.418881251216135,model_curve
MLIP_plus_full_EPC_LR,,0.029500000000000002,1298.8350482037158,1282.182972,16.65207620371575,model_curve
MLIP_plus_full_EPC_LR,,0.03,1299.0674458018107,1282.182972,16.8844738018106,model_curve
raw_DFPT,192,-0.023,1298.931402,1281.164692,17.766709999999875,raw_not_kgrid_converged
raw_DFPT,192,-0.019,1296.797636,1281.164692,15.632943999999952,raw_not_kgrid_converged
raw_DFPT,192,-0.015,1293.790744,1281.164692,12.626051999999845,raw_not_kgrid_converged
raw_DFPT,192,-0.011,1291.755292,1281.164692,10.590599999999995,raw_not_kgrid_converged
raw_DFPT,192,-0.007,1289.247223,1281.164692,8.082531000000017,raw_not_kgrid_converged
raw_DFPT,192,-0.003,1287.389301,1281.164692,6.224608999999873,raw_not_kgrid_converged
raw_DFPT,192,0.0,1281.164692,1281.164692,0.0,raw_not_kgrid_converged
raw_DFPT,192,0.003,1287.41643,1281.164692,6.251737999999932,raw_not_kgrid_converged
raw_DFPT,192,0.007,1289.306246,1281.164692,8.141554000000042,raw_not_kgrid_converged
raw_DFPT,192,0.011,1291.896458,1281.164692,10.73176599999988,raw_not_kgrid_converged
raw_DFPT,192,0.015,1294.043122,1281.164692,12.87842999999998,raw_not_kgrid_converged
raw_DFPT,192,0.019,1297.157031,1281.164692,15.992338999999902,raw_not_kgrid_converged
raw_DFPT,192,0.023,1299.445485,1281.164692,18.280792999999903,raw_not_kgrid_converged
raw_DFPT,240,-0.007,1289.295858,1281.753275,7.542582999999922,raw_not_kgrid_converged
raw_DFPT,240,-0.003,1287.159876,1281.753275,5.40660099999991,raw_not_kgrid_converged
raw_DFPT,240,0.0,1281.753275,1281.753275,0.0,raw_not_kgrid_converged
raw_DFPT,240,0.003,1287.190314,1281.753275,5.437038999999913,raw_not_kgrid_converged
raw_DFPT,240,0.007,1289.355387,1281.753275,7.602112000000034,raw_not_kgrid_converged
raw_DFPT,288,-0.003,1287.010106,1282.182972,4.827133999999887,raw_not_kgrid_converged
raw_DFPT,288,0.0,1282.182972,1282.182972,0.0,raw_not_kgrid_converged
raw_DFPT,288,0.003,1287.038604,1282.182972,4.855632000000014,raw_not_kgrid_converged
DFPT_1_over_Nk_depth_limit,infinity_extrapolation,-0.003,1284.2286277105263,1282.182972,2.045655710526254,depth_limit_only_absolute_value_anchored_at_k288_K
DFPT_1_over_Nk_depth_limit,infinity_extrapolation,0.003,1284.2615002894738,1282.182972,2.078528289473819,depth_limit_only_absolute_value_anchored_at_k288_K
