sscha_index,selected,selection_group,shard,RMS_displacement_A,max_displacement_A,inplane_RMS_displacement_A,outplane_RMS_displacement_A,Aprime_coordinate_abs_A,MLIP_force_RMS_eV_A,committee_force_disagreement_RMS_eV_A,MLIP_energy_centered_eV,Aprime_force_abs_eV_A
68,False,,,0.0967772419015109,0.44384097657928806,0.04415209689502905,0.15555927593600644,0.013078540636191696,0.17290438404986325,0.0027692784101981415,1.1270103218574299,0.20398514866299414
69,False,,,0.09677724190151091,0.4438409765792897,0.0441520968950292,0.1555592759360064,0.013078540636192057,0.18783924732270582,0.0025634779204976046,-1.4389845102281429,0.3092131571936201
70,False,,,0.07794865628679505,0.30856622381896626,0.0434096821714799,0.12024632234830689,0.020432152912156564,0.16412337935643945,0.0030399833431809602,-0.13034447185329956,0.24389170211114783
71,False,,,0.07794865628679493,0.30856622381896404,0.04340968217147965,0.12024632234830689,0.020432152912157896,0.18489273065679362,0.0026241171983724357,-0.7538545015819027,0.16652369502835837
72,False,,,0.1060337932812132,0.39138412662269334,0.04439595430169646,0.17259053982212505,0.06376069192677604,0.2048914818785404,0.003290498100580552,-0.12206570494910185,0.2752425179519495
73,False,,,0.10603379328121323,0.39138412662269156,0.04439595430169652,0.17259053982212505,0.06376069192677644,0.18717988763849097,0.00392724660614287,-1.1459320290709663,0.4675400624325684
74,False,,,0.10205141126503596,0.3641763872679701,0.04772758242553139,0.16336348237958428,0.05552010688941313,0.21344126224651658,0.0060698350686961885,-1.6652452484642382,0.017912299414092128
75,False,,,0.10205141126503592,0.3641763872679708,0.04772758242553131,0.1633634823795842,0.055520106889413515,0.19156022167945083,0.0035890060775103233,2.4254020467648267,0.35814150162713987
76,False,,,0.0981057029625278,0.3681059516341934,0.0419218046815006,0.15924607199490806,0.03272481864348807,0.15572027434935595,0.0031614275110435452,2.226738709178248,0.09594038430538002
77,False,,,0.09810570296252773,0.3681059516341948,0.041921804681500495,0.15924607199490798,0.03272481864348793,0.21447532024946453,0.0040245534810754375,-2.4479161270696776,0.4165662017861417
78,False,,,0.07533210197359298,0.29511573768532184,0.0588483547332978,0.10049138795761221,0.0575399994935985,0.16811304484771133,0.004684493040806342,1.9415364740761554,0.27235805567981763
79,False,,,0.07533210197359297,0.2951157376853251,0.05884835473329771,0.10049138795761228,0.05753999949359878,0.19736963450925038,0.004741588371920697,-0.6513487418552399,0.177850949779323
80,False,,,0.06525993577135149,0.27558770397819166,0.03925830843478712,0.09845886495547777,0.016297108530848793,0.18260159625788827,0.003661234617654099,-2.6892969442088575,0.23934195131271777
81,False,,,0.06525993577135156,0.27558770397819415,0.039258308434787136,0.0984588649554779,0.016297108530849095,0.1744087836451456,0.0044661769796301475,3.1187758915806967,0.15394997862207352
82,False,,,0.08309981797832983,0.3502146385023798,0.04390745685842686,0.12984995074525602,0.04727547484153658,0.2170766207623523,0.00270176234788561,-4.401195164011749,0.4609127529517926
83,False,,,0.08309981797832985,0.3502146385023781,0.04390745685842682,0.12984995074525607,0.0472754748415378,0.15223701197099623,0.002958625628816222,2.8072500325154905,0.12449699492319337
84,False,,,0.07773453988786817,0.30706586082721504,0.03788980307869941,0.12351802184317262,0.059216063718804564,0.18327628974668234,0.0028769543753574675,-0.38234547537318875,0.38330209480366334
85,False,,,0.07773453988786816,0.307065860827213,0.03788980307869931,0.1235180218431726,0.059216063718804515,0.18727515788777802,0.002890616759426311,-0.33224382356290416,0.04494020140681614
86,False,,,0.10612673400949911,0.5198977608085473,0.042094559380147493,0.1739101697881737,0.041722082028592775,0.17899340313335108,0.003372418106541744,0.37706947091689,0.13707589808401205
87,True,typical,B,0.106126734009499,0.5198977608085443,0.04209455938014734,0.17391016978817364,0.04172208202859367,0.1851649522012253,0.0032080160421885796,-3.1783474289992144,0.232605651367018
88,False,,,0.07913302782860802,0.3440823162257947,0.040994904651293726,0.1241971974934718,0.03811072627117513,0.174276685140784,0.003108526400764971,0.10388168740874093,0.32241553288863944
89,False,,,0.07913302782860814,0.3440823162257921,0.04099490465129403,0.12419719749347177,0.038110726271176114,0.16548662563722344,0.002866087621628888,0.17138057476315094,0.07335972780684742
90,False,,,0.07749195799305163,0.26753210292807944,0.04581648550278455,0.11754450209659702,0.04322043727043117,0.17146548072198786,0.0028650635938034692,2.189050767806556,0.2661009430388078
91,False,,,0.07749195799305159,0.26753210292807794,0.04581648550278456,0.11754450209659696,0.043220437270431705,0.1815787984913871,0.0027480663736126542,-1.744701285212198,0.13833237246996638
92,False,,,0.08563388864720217,0.4081531058274974,0.043618858931713723,0.13488617032711236,0.030253292903382557,0.1993036966862869,0.003269828732243774,-2.8036583839791023,0.14850982897118414
93,False,,,0.08563388864720223,0.408153105827496,0.04361885893171389,0.13488617032711242,0.03025329290338168,0.18290622068700893,0.0038090340570612214,3.2191581856258065,0.2319769821297533
94,True,typical,A,0.08720048589039261,0.33862918712378465,0.04480987164730111,0.13709823129590873,0.027155724151841358,0.17594678913071102,0.0030131492959517307,0.9387655711477905,0.16504904283035293
95,False,,,0.08720048589039257,0.3386291871237829,0.04480987164730111,0.13709823129590865,0.027155724151840997,0.1937471127567907,0.003721278843777701,-1.405242868512386,0.36598529510582484
96,False,,,0.09930231919481901,0.34683981324610513,0.04155320932876191,0.1616462600290194,0.018767050285313464,0.21745568483926617,0.0028872776297318285,-3.422259292476865,0.42436581647383687
97,False,,,0.09930231919481902,0.3468398132461075,0.04155320932876188,0.16164626002901947,0.018767050285313246,0.15933889919192687,0.0036266143456954872,1.6323559843865407,0.039669962095715036
98,False,,,0.06572666233520755,0.23807718953442486,0.04144660960243142,0.09759272273128998,0.061926358846111876,0.16871072096800657,0.004631289248409008,-0.8517373757699334,0.3883653944272498
99,True,high_committee_disagreement,A,0.06572666233520756,0.2380771895344223,0.04144660960243143,0.09759272273129005,0.06192635884611243,0.19362626087358156,0.0054519947388494755,2.567126809776278,0.24696370013647728
100,False,,,0.08732365583292273,0.3758704651406712,0.04407768863476622,0.1378063036777107,0.05916638668149043,0.18009214353090747,0.0038462539173034606,0.5466278688996526,0.2776577442321066
101,False,,,0.08732365583292269,0.3758704651406694,0.04407768863476619,0.13780630367771063,0.059166386681490685,0.1804705909499692,0.003602529542967332,0.6023126965886823,0.29657902015590376
102,False,,,0.10419703423104774,0.44136941166772553,0.043157299930040915,0.1698409866702834,0.027877981640173497,0.17911233546188554,0.004695916391154766,3.233285277260757,0.30021189432635437
103,False,,,0.10419703423104781,0.4413694116677245,0.043157299930040964,0.16984098667028347,0.027877981640173743,0.1707748668643894,0.0028555368864747687,-1.6107380240713693,0.1366823759158969
104,False,,,0.07362817632076449,0.2857905983305618,0.04314923338650024,0.1119804106139972,0.038086479021342975,0.18144204877994777,0.004012796498149292,-0.21137333470009434,0.2112435964782318
105,False,,,0.07362817632076447,0.28579059833055986,0.04314923338650023,0.11198041061399723,0.0380864790213421,0.18602157251283552,0.003830119466286045,0.9734651656746429,0.19242544968492634
106,False,,,0.1194753260612067,0.49662943325662734,0.040185721646404535,0.19898059243004165,0.04415933794726955,0.2026984201634211,0.0038261941118952277,-2.8034363227955916,0.17018698797433782
107,False,,,0.1194753260612067,0.4966294332566256,0.04018572164640476,0.19898059243004165,0.04415933794726816,0.14012501891110749,0.003372631062073009,1.3047431227972073,0.21889649677052395
108,False,,,0.06104327227438034,0.24196149284435967,0.040791436406481564,0.0886056471207357,0.026987971187047557,0.17415402746269273,0.003918650760801869,-0.24163242120326434,0.18397174819632364
109,False,,,0.061043272274380285,0.241961492844361,0.04079143640648144,0.08860564712073568,0.026987971187046704,0.18416808659905726,0.004389241428958522,-0.17230727164597415,0.34150128046056394
110,False,,,0.07771539746286245,0.30830054286301267,0.04338320629040942,0.11981170156691551,0.05760346691806286,0.21079768435560156,0.004891809176396856,-2.3452949084748784,0.19222588882993438
111,False,,,0.07771539746286249,0.3083005428630134,0.043383206290409496,0.11981170156691551,0.05760346691806289,0.17967088266445716,0.004822704985002615,0.8938531951445334,0.24203674211242218
112,False,,,0.11701218989624483,0.4002591238277997,0.04321375859843075,0.19323741844823347,0.041643652457743194,0.15729540673872214,0.003304947570403188,1.087324510132774,0.09521485573589186
113,False,,,0.11701218989624491,0.4002591238278025,0.04321375859843089,0.19323741844823358,0.041643652457743395,0.21500673886076657,0.00350884087344001,-5.033563384283788,0.3020219564193695
114,False,,,0.0792542016543952,0.27877381951038505,0.04110158170148849,0.1243583748804171,0.05252089733383197,0.1949967389055256,0.004416403236514339,-0.06155275140991545,0.2451760384276926
115,False,,,0.07925420165439531,0.2787738195103842,0.041101581701488726,0.12435837488041715,0.052520897333831945,0.19545426600233756,0.005157182176870341,-0.055368130005193805,0.40919418874770147
116,False,,,0.08321322073091568,0.287350718593574,0.04453946422519549,0.12963715735197742,0.033089825980743316,0.15885703938030352,0.002991970677989146,-0.05645533353385357,0.07691078573028698
117,False,,,0.08321322073091579,0.28735071859357636,0.044539464225195634,0.1296371573519775,0.03308982598074451,0.18496280112724667,0.002848152652082752,-0.7458193023263604,0.3285564264619543
118,False,,,0.06917138921466975,0.29205656953651704,0.0438686189143025,0.10249454525371289,0.03861871278055415,0.15957835322683417,0.004511405504727479,2.792759784747062,0.05249191962329816
