sscha_index,atom_index,local_knn_score,local_knn_percentile,nearest_corrected_config,nearest_corrected_atom,force_error_norm_meV_A,force_error_x_meV_A,force_error_y_meV_A,force_error_z_meV_A,nearest_distance_A,second_distance_A,third_distance_A
94,20,1.7627958973042976,31.51851851851852,103,68,21.685388845326383,14.43654107192993,3.4588762436294496,15.80754713365555,1.3435790312786378,1.3758587684781813,1.4561562442566156
94,21,1.5999491555447598,15.643518518518517,170,10,46.863852803408804,46.03295671527863,3.700712483749369,-7.968206996650684,1.3662617455748776,1.45299459756637,1.4864206457535838
94,22,2.085973725419752,61.77777777777778,137,37,23.22774665330883,17.252395322837817,-14.640676293029786,-5.247253367004406,1.333348821078626,1.4392385686925124,1.4490732350006528
94,23,1.8620488380870346,41.55555555555556,252,9,26.735334114758423,0.7386590989685027,17.769583511390685,-19.961822932662965,1.4044997888009438,1.4094316986697775,1.4399494329129614
94,24,1.7992094969254608,35.2037037037037,214,49,12.385530881384422,-10.02049658790588,1.8084207931518548,7.051286235885606,1.4183908873987212,1.4500545237232507,1.4857509766468695
94,25,1.8785344984757,43.083333333333336,210,16,50.614467881886625,22.29831902896881,-45.41726472023011,-1.3716387211656564,1.3550443817569098,1.4144132311987314,1.4641228847501944
94,26,1.8854779302607436,43.800925925925924,141,9,24.244038002671385,15.800840740203881,-13.401483224792454,12.589958616027852,1.388735250411863,1.4763609791364147,1.5011237332547276
94,27,1.575625646712448,13.703703703703704,8,24,30.53935957420694,-14.713797129669137,17.864911727905273,-19.924898649272922,1.3281742144562902,1.4208606499921896,1.480265447680916
94,28,1.4975773382640905,8.069444444444445,128,56,25.255631968537898,24.125537844924924,5.57793303344728,4.969107857322699,1.3643409548128618,1.3877845747513935,1.4191047664993053
94,29,1.4273183336476944,4.1990740740740735,281,48,29.818990763563207,-16.48472429956436,-13.032719809532162,21.15595162811279,1.3932753600365706,1.4183361444606206,1.4516470406277315
94,30,2.0853220473030065,61.70833333333333,111,50,42.770244610349145,1.9742603995323154,-39.92222829200745,15.21879785346985,1.3874304765600594,1.4469675523428345,1.4628849171799836
94,31,2.2943219199583065,75.47685185185186,47,17,74.81265682506991,74.26450234153748,-9.030152628784204,0.4167213581228249,1.3470094404985156,1.3567595014175782,1.4533968075619281
94,32,1.5130176887022027,9.101851851851851,21,13,37.05757336186771,-28.38359360774994,23.700117604980477,2.437166980409619,1.3674506281921135,1.4237382996860175,1.4742746372600655
94,33,2.217264246488686,71.0,190,51,8.630765426030605,5.6818216907501276,3.4156966873168937,-5.526303489127159,1.3828741504948483,1.4064363930713153,1.4846895419231463
94,34,1.6391348269604566,19.34259259259259,148,57,6.063918418430579,-3.853587912702558,-0.4068910837364201,4.664269120712286,1.3771809475772032,1.4534300053205425,1.4745318642219176
94,35,1.683361593148288,23.39351851851852,153,58,14.348584067822392,-4.4990930693435685,13.433187954101534,2.278044708633409,1.341040769203884,1.3624367392858336,1.4602014177793732
94,36,2.289005794769765,75.26851851851852,16,63,24.182383429273614,21.95605411411286,-3.7416804509353643,9.419086126670834,1.3678498966135975,1.3733004800723627,1.3910826091423445
94,37,1.8641583027879691,41.726851851851855,192,21,51.5849118358874,37.698923235473636,24.320663526229858,25.46172896026611,1.3526949689094148,1.4205248973080284,1.5110807960941954
94,38,2.3843327857204244,79.92592592592592,209,42,17.032753056435396,5.897166162796008,-12.952377416839578,9.358099549674987,1.3360377772378191,1.4299303839246404,1.5037165072873289
94,39,2.281405691913158,74.79629629629629,196,64,33.233666634601576,4.655768651580794,6.434556509399392,-32.27068172149658,1.4030662531953084,1.4282564842932257,1.512805124826537
94,40,1.8810001389354383,43.3287037037037,262,24,38.87451935402613,-18.45853111907958,28.891747304496757,-18.324241365623482,1.3421399896087025,1.4124189370887088,1.4494715879207785
94,41,1.5710800395517384,13.310185185185187,71,36,32.67722338147379,29.32934215339661,-11.489683846511834,8.693548290481578,1.4226454570369447,1.435087344722947,1.4684663752195157
94,42,1.9690695492916306,51.53240740740741,295,15,61.43097304255692,38.35145519962311,39.98134287258148,-26.54095995121003,1.400874009011166,1.4114636346184672,1.4150505067149806
94,43,1.8111414442413287,36.375,23,45,64.70475013879482,-49.89860033924222,40.957955827331524,4.390925774230947,1.3973134258174358,1.44549195172947,1.477816454646723
94,44,3.427746443782309,98.5462962962963,224,66,43.22376793821576,20.37476841239927,-13.648163562412261,35.5934061069107,1.3664490064738735,1.4658604777134931,1.496603675661056
94,45,1.991868251884776,53.55092592592593,89,27,47.07170071390741,-15.378000621147137,30.81571672431943,-32.08821758468628,1.3707324767622397,1.4019351760126055,1.4500734013598335
94,46,1.4743864595767946,6.7175925925925934,131,8,51.27227645002885,-18.41646206649783,47.848896255645755,-0.4042084089660447,1.4190292190170481,1.4271945033535822,1.450259628940738
94,47,1.7466471565421553,29.824074074074076,257,34,29.085628172305164,-2.681623991699217,28.793178335952753,-3.12018272842407,1.4205115775485926,1.4319351561503288,1.4793709409684563
94,48,2.664169149069733,89.30092592592592,101,42,34.123729718391274,-31.122193650856016,-4.8689179269408855,13.119894453582749,1.3747221988294773,1.4154163793725598,1.4994883272757629
94,49,2.575272227913419,87.05555555555556,178,52,20.765730130591237,-6.188902898693081,-13.15926654796601,-14.823856876220704,1.3758587684781813,1.4263398774721714,1.43566683057242
94,50,2.1899869542843122,69.16666666666667,280,34,41.16096220880141,40.188237382164,-8.492968504028308,2.645727132339487,1.3407454143611117,1.3662617455748776,1.5146188469618211
94,51,2.1092808698215593,63.629629629629626,281,5,35.26485095959413,-25.4564386779213,-16.66871966369632,-17.825073010025033,1.333348821078626,1.4160443200756212,1.4374983791935803
94,52,1.9523018495846796,50.101851851851855,65,27,18.88862343682641,-7.065100186614992,17.51746562035561,-0.05341283535003488,1.4094316986697775,1.4192501876847963,1.457527728350745
