smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.0019000869,,fixed_static_lattice_reference,KM,0.10400000000000001,0.10400000000000001,0.36800000000000005,0.264,1380.2883647035771,3.2996454920831956e-07,-166054.2493330693,1318.7652256573215
0.0019000869,,fixed_static_lattice_reference,KM,0.105,0.105,0.36833333333333335,0.26333333333333336,1380.2938772462678,3.7198285785359355e-07,-165548.25316023896,1318.9628252544862
0.0019000869,,fixed_static_lattice_reference,KM,0.106,0.106,0.3686666666666667,0.26266666666666666,1380.2995013727716,4.048597510889992e-07,-165152.3404572288,1319.1187865513452
0.0019000869,,fixed_static_lattice_reference,KM,0.107,0.107,0.369,0.262,1380.305238854123,4.312057260167088e-07,-164835.07489103364,1319.2450407400074
0.0019000869,,fixed_static_lattice_reference,KM,0.108,0.108,0.36933333333333335,0.26133333333333336,1380.3110914715583,4.5500795073587387e-07,-164548.44187316464,1319.359794508776
0.0019000869,,fixed_static_lattice_reference,KM,0.109,0.109,0.36966666666666664,0.26066666666666666,1380.3170610161685,4.746664633500279e-07,-164311.70859029327,1319.4557515665388
0.0019000869,,fixed_static_lattice_reference,KM,0.11,0.11,0.37000000000000005,0.26,1380.3231492885498,4.936935165904959e-07,-164082.57951703155,1319.5489445052156
0.0019000869,,fixed_static_lattice_reference,KM,0.111,0.111,0.37033333333333335,0.25933333333333336,1380.3293580984523,5.137754821085185e-07,-163840.74689638006,1319.6470702169217
0.0019000869,,fixed_static_lattice_reference,KM,0.112,0.112,0.3706666666666667,0.25866666666666666,1380.335689264431,5.334940739226722e-07,-163603.29012305304,1319.7436587966843
0.0019000869,,fixed_static_lattice_reference,KM,0.113,0.113,0.371,0.258,1380.3421446134912,5.502892198991509e-07,-163401.03829854555,1319.8270333258167
0.0019000869,,fixed_static_lattice_reference,KM,0.114,0.114,0.37133333333333335,0.25733333333333336,1380.3487259807362,5.669854952518833e-07,-163199.97710162005,1319.9100833825846
0.0019000869,,fixed_static_lattice_reference,KM,0.115,0.115,0.37166666666666665,0.25666666666666665,1380.3554352090123,5.847752709808174e-07,-162985.74766867587,1319.9982499391376
0.0019000869,,fixed_static_lattice_reference,KM,0.116,0.116,0.37200000000000005,0.256,1380.3622741485556,6.021628284124502e-07,-162776.36186046668,1320.0847116878922
0.0019000869,,fixed_static_lattice_reference,KM,0.117,0.117,0.37233333333333335,0.25533333333333336,1380.3692446566326,6.166701284874433e-07,-162601.66091336243,1320.1581688118133
0.0019000869,,fixed_static_lattice_reference,KM,0.11800000000000001,0.11800000000000001,0.3726666666666667,0.25466666666666665,1380.3763485971872,6.310222723263656e-07,-162428.82840085667,1320.2310537802264
0.0019000869,,fixed_static_lattice_reference,KM,0.11900000000000001,0.11900000000000001,0.373,0.254,1380.3835878404786,6.467552371335022e-07,-162239.36765775795,1320.310373329542
0.0019000869,,fixed_static_lattice_reference,KM,0.12,0.12,0.37333333333333335,0.25333333333333335,1380.3909642627264,6.648383906490763e-07,-162021.60528781512,1320.4005486708813
0.0019000869,,fixed_static_lattice_reference,KM,0.121,0.121,0.37366666666666665,0.25266666666666665,1380.3984797457497,6.806032522693599e-07,-161831.7604344107,1320.4802923368325
0.0019000869,,fixed_static_lattice_reference,KM,0.122,0.122,0.37399999999999994,0.252,1380.406136176608,6.9094051664786e-07,-161707.27621832257,1320.535431018687
0.0019000869,,fixed_static_lattice_reference,KM,0.123,0.123,0.37433333333333335,0.25133333333333335,1380.4139354472381,6.949381218681185e-07,-161659.13594311505,1320.5618112128705
0.0019000869,,fixed_static_lattice_reference,KM,0.124,0.124,0.3746666666666667,0.25066666666666665,1380.4218794540952,6.735243268113783e-07,-161917.00682592372,1320.4724754608303
0.0019000869,,fixed_static_lattice_reference,KM,0.125,0.125,0.375,0.25,1380.4299700977895,5.494064834601899e-07,-163411.66845654414,1319.914858575219
0.0019000869,,fixed_static_lattice_reference,KM,0.126,0.126,0.3753333333333333,0.24933333333333332,1380.4382092827234,6.984854765785748e-07,-161616.41770992018,1320.603359051374
0.0019000869,,fixed_static_lattice_reference,KM,0.127,0.127,0.37566666666666665,0.24866666666666667,1380.4465989167293,7.432358322324664e-07,-161077.5214662654,1320.8161457956592
0.0019000869,,fixed_static_lattice_reference,KM,0.128,0.128,0.37600000000000006,0.248,1380.4551409107037,7.627954783036361e-07,-160841.97876183433,1320.914235408551
0.0019000869,,fixed_static_lattice_reference,KM,0.129,0.129,0.37633333333333335,0.24733333333333332,1380.4638371782446,7.764080821393881e-07,-160678.05199597386,1320.9853722736332
0.0019000869,,fixed_static_lattice_reference,KM,0.13,0.13,0.37666666666666665,0.24666666666666667,1380.4726896352838,7.87728521208752e-07,-160541.7281164904,1321.046221262672
0.0019000869,,fixed_static_lattice_reference,KM,0.131,0.131,0.377,0.246,1380.4817001997244,7.977396925940873e-07,-160421.17080302752,1321.1012655293666
0.0019000869,,fixed_static_lattice_reference,KM,0.132,0.132,0.37733333333333335,0.24533333333333332,1380.4908707910718,8.069641788547175e-07,-160310.08697089116,1321.1528894744167
0.0019000869,,fixed_static_lattice_reference,KM,0.133,0.133,0.37766666666666665,0.24466666666666667,1380.5002033300698,8.156611623862932e-07,-160205.3554735028,1321.202276686224
0.0019000869,,fixed_static_lattice_reference,KM,0.134,0.134,0.37799999999999995,0.244,1380.5096997383298,8.239032502277898e-07,-160106.10195668146,1321.2497603083727
