structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
44,453005,44,0.011300903809354937,0.00723554656477341,0.04595100160154075,33,y,0.26510766361956434,0.06433877842492067,0.00567850681371352,0.012724597160662158,-89.84441422005042,-89.84441479538238,-0.001971491626922746
45,453005,45,0.01099748574246462,0.007305810177145939,0.05035034717326692,5,y,0.26510766382247314,0.06433877820525812,0.005678506813713321,0.006807197363769799,-89.97701738859793,-89.97701301308147,-0.006922340033715575
46,453005,46,0.011199512002901374,0.007242177733108535,0.05411509703723283,40,x,0.3732326951027195,0.1012981389642971,0.009628725600509815,0.00451846471003598,-90.5395671693935,-90.53955829910525,-0.011417111820482736
47,453005,47,0.012160265133360902,0.00814753956280002,0.04164617239732493,60,y,0.3732326953054562,0.10129813886323771,0.009628722989512093,0.006902510482621942,-90.6149408190822,-90.61492517159031,-0.018194315457880826
48,453005,48,0.010357443888795977,0.006963269187994174,0.04301288847741169,67,y,0.3364907646712671,0.08555250160746924,0.058722724674876346,0.0015575011920227098,-90.30041908943885,-90.30040068260783,-0.0209536545972829
49,453005,49,0.00954220088241788,0.006597485014412545,0.03559906213546071,70,y,0.33649076465925915,0.08555250172696725,0.05872272395208785,0.0070455009608335045,-90.60948133182886,-90.60946720755048,-0.016671101959436406
50,453005,50,0.009818187206008936,0.006601965495370814,0.03639226191154421,24,y,0.32653317430980694,0.07036030040414296,0.01886747242716466,0.018495245469065065,-90.53406376716924,-90.5340681156597,0.001801666869833222
51,453005,51,0.00967351274039093,0.006531755257703152,0.040250894910220936,53,x,0.32653317426792033,0.0703603006308214,0.018867472974518844,0.010960337268624927,-90.45680637226933,-90.4568132346206,0.004315527690674041
52,453005,52,0.010767253744337294,0.007151124174320674,0.04508081392451402,66,y,0.4404272802813374,0.10916957459822327,0.04258713143104387,0.01083416695966228,-89.98402127385793,-89.98402592972599,0.0021090444740915855
53,453005,53,0.009754401027905417,0.006578993390590918,0.04152712737326425,34,y,0.44042728005526294,0.10916957461061336,0.04258713389694988,0.004685767372306852,-90.18502887926564,-90.18504472324875,0.013297159527165073
54,453005,54,0.011102957347061257,0.007297375477721599,0.04494762524109852,68,y,0.3022280659150699,0.0732646023578464,0.023992862314307247,0.013745818598817568,-89.2692330337985,-89.26924173485439,0.006154232310346212
55,453005,55,0.01289967747272802,0.008812425987486654,0.04511965160247655,2,y,0.3022280658976873,0.07326460231369131,0.023992861209184133,0.015689255006759058,-89.42738895158823,-89.42738560819967,-0.005890212135900204
56,453005,56,0.010016556504153215,0.006723430991163477,0.050666336737337225,3,y,0.460917867748141,0.11442827045596975,0.021886899084226957,0.00368673295194063,-89.71634897195523,-89.71636695209072,0.01543331191636336
57,453005,57,0.01268915548665904,0.008462821435184734,0.0474581650653505,24,x,0.4609178681193198,0.1144282703462885,0.021886899161053488,0.0005096345788725278,-89.9050265214351,-89.90503696256341,0.007894304730721538
58,453005,58,0.011789533817052202,0.0077012267276446045,0.056376004463953855,53,x,0.2757160918854909,0.07314575187425429,0.0441412901826106,0.009995078187294561,-89.434239456724,-89.43421843238914,-0.023571158435847415
59,453005,59,0.010487236838154524,0.007035703183388091,0.043350911934858516,27,y,0.2757160919896066,0.07314575171161813,0.04414129265530084,0.01363944118667639,-89.49245888999624,-89.49247456647382,0.013129653994165361
60,453005,60,0.010637647415126211,0.006907923143052265,0.04301644775361879,59,x,0.4025993189649156,0.10493164873722961,0.010729964946434509,0.010582566697520987,-90.44546630617992,-90.44546887999782,2.6994315144672104e-05
61,453005,61,0.01187145131257479,0.00756161568293356,0.050648371077155474,52,x,0.4025993186877616,0.10493164870241155,0.010729961502152368,0.005417032785840948,-90.18620517481607,-90.18621518613517,0.007464495525605723
62,453005,62,0.010680037008648072,0.0069983130043323434,0.060473656644965956,0,y,0.3244971245557549,0.08724618430183337,0.05014151109394812,0.004741902744410116,-91.15833788846503,-91.1583265425895,-0.013892699100542435
63,453005,63,0.011442261646713579,0.00784166555261817,0.04399413821809528,65,y,0.3244971236464003,0.08724618422314336,0.05014151055312333,0.007979678673581347,-91.00651150625342,-91.00650836708937,-0.005685987630149232
64,453005,64,0.012902329953888889,0.008518449581636426,0.05519001479425967,69,y,0.4082228698647335,0.09724338783755233,0.03716083132540657,0.011337003169586064,-89.87444607752752,-89.87446086835382,0.01224400271918095
65,453005,65,0.011462915396269417,0.007669211445363458,0.045504057447742774,33,y,0.4082228689587688,0.09724338779916696,0.037160831409190576,0.0150950563876947,-90.02978055064098,-90.02978693273134,0.003835266782298656
66,453005,66,0.011841013928700956,0.00771110116571845,0.05100763893040039,66,y,0.39942851325968187,0.09639655670238374,0.025853327320998425,0.003549937495653566,-89.05609717336733,-89.05612487788676,0.025157695845573848
67,453005,67,0.011269609031340026,0.007935752462960131,0.03663776455775647,29,y,0.39942851271174296,0.0963965566523269,0.025853327424660878,0.01254805503131838,-88.85613288887077,-88.8561602362594,0.024800565044197732
