direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
KG,0.117,-0.117,0.29433333333333334,0.29433333333333334,1380.793188223333,1.857942133593539e-07,-167790.38866202463,1318.6354462026006
KG,0.11800000000000001,-0.11800000000000001,0.294,0.294,1380.8111430535826,2.0148854411976702e-07,-167601.39316087432,1318.7259076927498
KG,0.11900000000000001,-0.11900000000000001,0.2936666666666667,0.2936666666666667,1380.829413676614,2.171367654285189e-07,-167412.95292258024,1318.816483348582
KG,0.12,-0.12,0.29333333333333333,0.29333333333333333,1380.8480033253297,2.2799968817761445e-07,-167282.13858202222,1318.8855407902263
KG,0.121,-0.121,0.293,0.293,1380.8669152341502,2.3945829077602966e-07,-167144.15089884988,1318.9576515906142
KG,0.122,-0.122,0.2926666666666667,0.2926666666666667,1380.8861526386556,2.473452551413535e-07,-167049.1738778138,1319.013795481827
KG,0.123,-0.123,0.29233333333333333,0.29233333333333333,1380.9057187752337,2.5675471331634755e-07,-166935.8625623787,1319.0772310914044
KG,0.124,-0.124,0.292,0.292,1380.925616880727,2.630547028108539e-07,-166859.9963346349,1319.1268184002556
KG,0.125,-0.125,0.2916666666666667,0.2916666666666667,1380.9458501920806,2.8821317310219355e-07,-166557.0310299351,1319.262828299499
KG,0.126,-0.126,0.29133333333333333,0.29133333333333333,1380.9664219459962,3.428055084076063e-07,-165899.61492678797,1319.533494692552
KG,0.127,-0.127,0.291,0.291,1380.987335378579,3.5068256623178745e-07,-165804.75720307883,1319.591324339831
KG,0.128,-0.128,0.2906666666666667,0.2906666666666667,1381.0085937249994,3.559556565194014e-07,-165741.25718152762,1319.6376316098192
KG,0.129,-0.129,0.29033333333333333,0.29033333333333333,1381.0302002191431,3.634978970431219e-07,-165650.43142098148,1319.6946550230266
KG,0.13,-0.13,0.29,0.29,1381.052158093275,3.688432214386935e-07,-165586.0615361884,1319.7420209411778
KG,0.131,-0.131,0.2896666666666667,0.2896666666666667,1381.0744705776951,3.7692471519521925e-07,-165488.7419380562,1319.8022394826448
KG,0.132,-0.132,0.28933333333333333,0.28933333333333333,1381.097140900404,3.833972751205148e-07,-165410.79756913206,1319.8554902087342
KG,0.133,-0.133,0.289,0.289,1381.1201722867677,3.931050727382725e-07,-165293.89356705372,1319.923875354324
KG,0.134,-0.134,0.2886666666666667,0.2886666666666667,1381.1435679591834,4.0149596931651877e-07,-165192.84805398813,1319.986631470575
KG,0.135,-0.135,0.28833333333333333,0.28833333333333333,1381.1673311367513,4.1284444414941376e-07,-165056.1865600336,1320.063259862717
KG,0.136,-0.136,0.288,0.288,1381.191465034945,4.220002204999229e-07,-164945.9301517674,1320.1302711981157
KG,0.137,-0.137,0.2876666666666667,0.2876666666666667,1381.2159728652875,4.3273975572016007e-07,-164816.60167818953,1320.20489395397
KG,0.138,-0.138,0.28733333333333333,0.28733333333333333,1381.240857835026,4.400123495533728e-07,-164729.02307817445,1320.2640964120262
KG,0.139,-0.139,0.287,0.287,1381.266123146815,4.4803025600299537e-07,-164632.46921609802,1320.3270934646969
KG,0.14,-0.14,0.2866666666666667,0.2866666666666667,1381.2917719983961,4.524111090675991e-07,-164579.7137636324,1320.3739037207745
KG,0.14100000000000001,-0.14100000000000001,0.28633333333333333,0.28633333333333333,1381.317807582285,4.577572132275867e-07,-164515.3344886991,1320.425518935177
KG,0.14200000000000002,-0.14200000000000002,0.286,0.286,1381.3442330854568,4.599481592961414e-07,-164488.9505060661,1320.4631535080343
