asr_residual_pred,cv_error_300k,error,f_error_300k,freq_mae,freq_rmse,model,mp_id,n_displacements,n_imaginary_pred,n_imaginary_ref,omega_max_error,omega_max_pred,omega_max_ref,s_error_300k,softening_pct
1.7153817966278732e-07,1.71264277277065,,-1.6223475338731994,0.5022357175095827,0.6282164932864832,mattersim,mp-804,4,0,0,-0.8766197162062497,20.543626781651593,21.420246497857843,2.612918947952977,-4.092481924957853
4.2305266700182483e-07,161.16298709777854,,54.76757145365235,5.556327086593769,6.362643120139638,mattersim,mp-1960,18,0,0,-10.667477875980744,12.103028397411894,22.770506273392638,117.35885886902247,-46.84778523543723
4.889727227956064e-07,2.042198904916006,,-14.57653083542641,0.9729118244423681,1.2595699938237057,mattersim,mp-23922,192,9142,199,0.06421429858556849,92.80235229878173,92.73813800019616,25.986013201006642,0.06924260069296696
6.417338904886394e-08,2.529286074501101,,-13.307952045809458,0.3339448031872339,0.44212390623035774,mattersim,mp-31243,108,0,0,-0.944171664457599,6.225058710387946,7.169230374845545,41.69172835381755,-13.169777160047538
4.070820064049472e-07,727.5946342804511,,372.28859787496236,8.999814698831246,11.659274287443267,mattersim,mp-553993,288,0,0,-23.463514896901085,12.768070761697427,36.23158565859851,690.7278249197338,-64.75983446596051
3.0875035680544895e-07,16.56568764215399,,-25.335342117384357,0.4598374803936662,0.5884643882385496,mattersim,mp-555742,102,8,7,-1.1484596458248717,42.086345114028845,43.234804759853716,35.24892597302869,-2.6563312872671743
1.40294927769841e-07,8.120736619304239,,-10.541544548965554,0.31950386807182973,0.397883995939287,mattersim,mp-560381,42,254,708,-0.5164732336404754,16.70807652139916,17.224549755039636,28.29476134451454,-2.9984716058506162
1.340796854508912e-07,11.087098764320103,,-21.03135596377499,0.34732470347656563,0.4208248535719147,mattersim,mp-622930,69,41,0,-0.9909852199310869,20.507552370388925,21.498537590320012,54.479363884474424,-4.609547118113237
1.009286362022524e-07,3.4525880117929546,,-7.898945322656282,0.39788534545240584,0.5151025009595136,mattersim,mp-7441,96,23,14,-0.650837722148971,10.510237152306399,11.16107487445537,22.46254726632401,-5.831317587865659
2.9336425573012565e-05,0.24928673890180164,,-0.2985497622449955,5.128103575946219,7.104819894955828,mattersim,mp-984,8,0,3,0.7146480909676853,46.07510628112022,45.360458190152535,0.9846783962061991,1.5754869317498006
3.6917821151082376e-07,1.31936273241746,,-1.1075200765287576,0.8592954210901554,1.218620705736441,orb,mp-10851,54,1859,335,-0.5542023340147324,36.741620627799406,37.29582296181414,0.849528731183085,-1.4859635476663442
9.67918950845035e-08,-0.18274679536730787,,-1.7598048331865535,0.35264076697591756,0.46957035262998137,orb,mp-19795,48,320,0,0.32150572510279574,9.891064012771189,9.569558287668393,5.284604384604563,3.359671527546859
7.655846553612088e-08,136.39944900347217,,-3.530142261799773,3.405386777107712,3.973192702970996,orb,mp-2472,48,13,0,-8.470434003710182,4.239859959567003,12.710293963277184,175.5039082728581,-66.64231392431297
6.108283081207289e-07,65.43379908900182,,109.0114380725276,31.2030443321917,44.69051408781135,orb,mp-34381,72,8128,716,-88.31015170420366,10.125961499274323,98.43611320347799,117.74548821459733,-89.71316403123019
2.7787813089309115e-07,-0.31377997012546643,,-0.9398663828904574,0.7129644651731274,1.017601728589088,orb,mp-554089,72,1296,13,-0.5111417944100936,36.33293819973763,36.84407999414773,-1.9017964310495756,-1.3873105109186679
1.2674068121683333e-07,2.3507238526079846,,-9.454297715246156,0.3092405276145185,0.3597600857175712,orb,mp-555846,168,4256,1217,-0.5820100490432125,20.91184306098041,21.493853110023622,19.412013088343997,-2.707797648304357
4.4441998344296106e-07,0.684265767443776,,-6.734930176940637,0.5693855861159949,0.7638602353275656,orb,mp-560616,96,780,11,-0.7528399262539409,49.8485172570791,50.60135718333304,15.997114161657805,-1.4877860361063786
3.516394343152105e-07,56.676266961567165,,75.2344905022447,23.309329848457477,32.90600293532409,orb,mp-625521,60,5770,468,-67.60127114748151,18.894133527097683,86.49540467457919,86.864397078646,-78.15591059642661
2.758734792793619e-07,2.295123037782048,,-2.751351989119179,0.6109836150178509,0.8634102013491128,orb,mp-753378,72,892,76,-0.46515304373830446,25.6100635943518,26.075216638090104,3.3981988652332404,-1.7838894694313645
