smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.006749999999999999,1289.6797095049317
0.0019000869,K_to_Gamma,-0.0068249999999999995,1289.711966610873
0.0019000869,K_to_Gamma,-0.006899999999999999,1289.744426971002
0.0019000869,K_to_Gamma,-0.006974999999999999,1289.7770875730744
0.0019000869,K_to_Gamma,-0.007049999999999999,1289.8099454377643
0.0019000869,K_to_Gamma,-0.007124999999999999,1289.842997618781
0.0019000869,K_to_Gamma,-0.0072,1289.8762412029587
0.0019000869,K_to_Gamma,-0.007274999999999999,1289.9096733103197
0.0019000869,K_to_Gamma,-0.00735,1289.943291094115
0.0019000869,K_to_Gamma,-0.007424999999999999,1289.9770917408375
0.0019000869,K_to_Gamma,-0.0075,1290.0110724702142
0.0019000869,K_to_Gamma,-0.007574999999999999,1290.0452305351778
0.0019000869,K_to_Gamma,-0.00765,1290.079563221814
0.0019000869,K_to_Gamma,-0.007724999999999999,1290.1140678492934
0.0019000869,K_to_Gamma,-0.0078,1290.148741769783
0.0019000869,K_to_Gamma,-0.007875,1290.1835823683384
0.0019000869,K_to_Gamma,-0.007949999999999999,1290.2185870627823
0.0019000869,K_to_Gamma,-0.008025,1290.2537533035645
0.0019000869,K_to_Gamma,-0.0081,1290.28907857361
0.0019000869,K_to_Gamma,-0.008175,1290.3245603881498
0.0019000869,K_to_Gamma,-0.008249999999999999,1290.3601962945409
0.0019000869,K_to_Gamma,-0.008324999999999999,1290.3959838720732
0.0019000869,K_to_Gamma,-0.0084,1290.4319207317644
0.0019000869,K_to_Gamma,-0.008475,1290.4680045161444
0.0019000869,K_to_Gamma,-0.008549999999999999,1290.5042328990298
0.0019000869,K_to_Gamma,-0.008624999999999999,1290.540603585289
0.0019000869,K_to_Gamma,-0.0087,1290.5771143105972
0.0019000869,K_to_Gamma,-0.008775,1290.6137628411852
0.0019000869,K_to_Gamma,-0.008849999999999998,1290.6505469735798
0.0019000869,K_to_Gamma,-0.008924999999999999,1290.6874645343373
0.0019000869,K_to_Gamma,-0.009,1290.7245133797699
0.0019000869,K_to_Gamma,-0.009075,1290.761691395669
0.0019000869,K_to_Gamma,-0.009149999999999998,1290.7989964970193
0.0019000869,K_to_Gamma,-0.009224999999999999,1290.8364266277108
0.0019000869,K_to_Gamma,-0.0093,1290.8739797602468
0.0019000869,K_to_Gamma,-0.009375,1290.9116538954459
0.0019000869,K_to_Gamma,-0.009449999999999998,1290.9494470621426
0.0019000869,K_to_Gamma,-0.009524999999999999,1290.9873573168836
0.0019000869,K_to_Gamma,-0.0096,1291.0253827436222
0.0019000869,K_to_Gamma,-0.009675,1291.063521453411
0.0019000869,K_to_Gamma,-0.00975,1291.1017715840912
0.0019000869,K_to_Gamma,-0.009824999999999999,1291.140131299981
0.0019000869,K_to_Gamma,-0.009899999999999999,1291.1785987915646
0.0019000869,K_to_Gamma,-0.009975,1291.217172275177
0.0019000869,K_to_Gamma,-0.01005,1291.2558499926906
0.0019000869,K_to_Gamma,-0.010124999999999999,1291.2946302112018
0.0019000869,K_to_Gamma,-0.010199999999999999,1291.333511222715
0.0019000869,K_to_Gamma,-0.010275,1291.3724913438286
0.0019000869,K_to_Gamma,-0.01035,1291.4115689154228
0.0019000869,K_to_Gamma,-0.010424999999999999,1291.4507423023442
0.0019000869,K_to_Gamma,-0.010499999999999999,1291.4900098930946
0.0019000869,K_to_Gamma,-0.010575,1291.5293700995196
0.0019000869,K_to_Gamma,-0.01065,1291.5688213564981
0.0019000869,K_to_Gamma,-0.010724999999999998,1291.6083621216342
0.0019000869,K_to_Gamma,-0.010799999999999999,1291.6479908749482
0.0019000869,K_to_Gamma,-0.010875,1291.687706118574
