key,trajectory_seed,snapshot_index,atom,axis,displacement_A,displacement_norm_A,reference_force_eV_A,short_force_eV_A,long_force_eV_A,total_force_eV_A,short_only_error_meV_A,total_error_meV_A,reference_force_norm_eV_A,long_force_norm_eV_A
seed1:snapshot105,1,105,38,z,0.05053049000000076,0.05275850085172019,0.94461739,0.8528275975389522,0.03205964204614309,0.8848872395850953,-91.7897924610478,-59.730150414904706,2.8149362165733267,0.07010046055816808
seed1:snapshot105,1,105,39,x,0.049008379999998304,0.06481852985984493,-1.10907337,-1.1414477045360776,0.005985316128756905,-1.1354623884073207,-32.37433453607763,-26.389018407320776,2.782848792960791,0.07914777964962706
seed1:snapshot105,1,105,39,y,0.01753610889676127,0.06481852985984493,-2.08249097,-1.8938906308309442,-0.05133587056104581,-1.94522650139199,188.60033916905562,137.2644686080098,2.782848792960791,0.07914777964962706
seed1:snapshot105,1,105,39,z,-0.03862777999999878,0.06481852985984493,1.47561344,1.3378644360999092,0.059943101421634094,1.3978075375215433,-137.74900390009083,-77.80590247845676,2.782848792960791,0.07914777964962706
seed1:snapshot105,1,105,40,x,-0.0056752700000028975,0.048347605801159016,0.48767116,0.4649995994031855,-0.014214894755032785,0.45078470464815273,-22.671560596814466,-36.88645535184726,0.8583015673640181,0.019871641928037236
seed1:snapshot105,1,105,40,y,-0.03935031110323883,0.048347605801159016,0.68695686,0.6851542064754922,0.013700720828156432,0.6988549273036486,-1.8026535245078135,11.898067303648618,0.8583015673640181,0.019871641928037236
seed1:snapshot105,1,105,40,z,0.02751064000000092,0.048347605801159016,0.16416057,0.15001580435794507,0.0022603470548545087,0.15227615141279957,-14.14476564205494,-11.884418587200434,0.8583015673640181,0.019871641928037236
seed1:snapshot105,1,105,41,x,-0.02765197000000086,0.07440890827215392,1.9134016,1.8076370195652554,-0.022172016211485616,1.7854650033537698,-105.76458043474469,-127.93659664623024,2.0115028029312607,0.025820141644698133
seed1:snapshot105,1,105,41,y,0.009912778896761232,0.07440890827215392,0.59588015,0.561068418659906,-0.010764353595074916,0.5503040650648311,-34.81173134009408,-45.57608493516896,2.0115028029312607,0.025820141644698133
seed1:snapshot105,1,105,41,z,-0.06836512999999922,0.07440890827215392,-0.17310312,-0.1582322609298565,-0.007694810156858427,-0.16592707108671495,14.870859070143489,7.176048913285049,2.0115028029312607,0.025820141644698133
seed1:snapshot105,1,105,42,x,-0.041335120000001536,0.0645667816632228,1.27433437,1.2752635115022821,0.0023245801917407445,1.2775880916940228,0.9291415022820715,3.2537216940227154,1.7786388592174074,0.04118820989908724
seed1:snapshot105,1,105,42,y,-0.04581414441295761,0.0645667816632228,1.10119706,1.0113668381561924,0.03799174977965421,1.0493585879358467,-89.83022184380762,-51.83847206415337,1.7786388592174074,0.04118820989908724
seed1:snapshot105,1,105,42,z,0.01900898000000062,0.0645667816632228,0.57183314,0.5151834393675786,0.015738230850498382,0.530921670218077,-56.649700632421364,-40.911469781922946,1.7786388592174074,0.04118820989908724
seed1:snapshot105,1,105,43,x,-0.039698660000000885,0.152657544969945,-0.10911608,-0.06017133539121175,-0.03944670749647366,-0.09961804288768542,48.944744608788255,9.49803711231459,3.8868761424200255,0.04857377364435154
seed1:snapshot105,1,105,43,y,0.05417645558704231,0.152657544969945,-3.88484894,-3.7858891682566567,-0.027510834770696133,-3.8134000030273527,98.95977174334325,71.4489369726472,3.8868761424200255,0.04857377364435154
seed1:snapshot105,1,105,43,z,0.1370884900000009,0.152657544969945,-0.06203661,-0.012115644817856652,-0.0068207568465534565,-0.01893640166441011,49.92096518214335,43.10020833558989,3.8868761424200255,0.04857377364435154
seed1:snapshot105,1,105,44,x,-0.05195378000000162,0.18699744718266967,0.52898853,0.4680707691358671,0.05361006536670488,0.521680834502572,-60.917760864132916,-7.307695497428046,2.7562355970316204,0.06045799601905813
seed1:snapshot105,1,105,44,y,-0.0631655544129579,0.18699744718266967,2.52360254,2.498536748711619,-0.0055769528271026655,2.4929597958845164,-25.065791288381156,-30.642744115483733,2.7562355970316204,0.06045799601905813
seed1:snapshot105,1,105,44,z,0.16816350000000124,0.18699744718266967,0.9738768,0.8532842347103744,0.027386634900665514,0.8806708696110399,-120.59256528962558,-93.20593038896008,2.7562355970316204,0.06045799601905813
seed1:snapshot105,1,105,45,x,-0.02999028000000159,0.25373131011093586,1.20325468,1.1423223914552887,0.024481176153560182,1.1668035676088488,-60.93228854471122,-36.451112391151064,2.6973028768304883,0.08892985418734949
seed1:snapshot105,1,105,45,y,-0.005422854412957977,0.25373131011093586,-0.18958209,-0.19298853533715477,0.027279229276884056,-0.1657093060602707,-3.4064453371547563,23.872783939729302,2.6973028768304883,0.08892985418734949
seed1:snapshot105,1,105,45,z,0.2518943300000007,0.25373131011093586,-2.40659087,-2.2463926913179497,-0.08102490129571766,-2.3274175926136675,160.19817868205033,79.1732773863325,2.6973028768304883,0.08892985418734949
seed1:snapshot105,1,105,46,x,0.014955819999997285,0.08141111778672737,-1.12526927,-1.1115139373464957,-0.04901286016221115,-1.1605267975087068,13.75533265350426,-35.25752750870681,1.9174436304882148,0.06367319771236123
seed1:snapshot105,1,105,46,y,0.025441275587042345,0.08141111778672737,-1.511803,-1.4454566019923158,-0.038143582129826915,-1.4836001841221427,66.34639800768416,28.202815877857333,1.9174436304882148,0.06367319771236123
seed1:snapshot105,1,105,46,z,0.07587381000000093,0.08141111778672737,-0.35328577,-0.3306477797873478,-0.014038617736163614,-0.3446863975235114,22.637990212652227,8.59937247648862,1.9174436304882148,0.06367319771236123
seed1:snapshot105,1,105,47,x,-0.034986110000001965,0.048011781998736604,-0.02225444,-0.046339528145959985,0.01942377200203208,-0.026915756143927903,-24.085088145959986,-4.661316143927903,0.3981854180002453,0.027151490502506745
seed1:snapshot105,1,105,47,y,-0.02790744441295789,0.048011781998736604,0.17231122,0.13182291535404198,-0.015460381456857804,0.11636253389718418,-40.48830464595801,-55.948686102815806,0.3981854180002453,0.027151490502506745
seed1:snapshot105,1,105,47,z,0.01738614000000105,0.048011781998736604,-0.35828091,-0.32262258354379914,-0.010995322775127435,-0.33361790631892657,35.658326456200875,24.663003681073437,0.3981854180002453,0.027151490502506745
seed1:snapshot105,1,105,48,x,-0.021539650000001357,0.040898304337451036,0.17960261,0.1531637871658978,-0.03871452430517414,0.11444926286072366,-26.438822834102204,-65.15334713927633,0.3574773366312951,0.03981729621197445
seed1:snapshot105,1,105,48,y,-0.028723937722675782,0.040898304337451036,0.23752031,0.3022012916176663,0.009282976753926987,0.31148426837159326,64.68098161766628,73.96395837159325,0.3574773366312951,0.03981729621197445
seed1:snapshot105,1,105,48,z,-0.01958698999999875,0.040898304337451036,0.19778031,0.16835493888606584,0.0006550023223211563,0.169009941208387,-29.425371113934144,-28.770368791612988,0.3574773366312951,0.03981729621197445
seed1:snapshot105,1,105,49,x,-0.033074980000001426,0.0737069602944181,0.09744172,0.10490507085063164,0.013310566645532883,0.11821563749616452,7.463350850631642,20.77391749616453,1.374418636432148,0.02516631246509244
seed1:snapshot105,1,105,49,y,-0.001524637722676303,0.0737069602944181,-1.10087284,-1.0737343170481424,-0.015502231752279234,-1.0892365488004216,27.138522951857702,11.63629119957843,1.374418636432148,0.02516631246509244
seed1:snapshot105,1,105,49,z,0.06585163000000094,0.0737069602944181,0.81707447,0.7825434545696278,0.014691933479434226,0.797235388049062,-34.53101543037218,-19.839081950937974,1.374418636432148,0.02516631246509244
seed1:snapshot105,1,105,50,x,-0.02024272000000238,0.11447602926471487,0.48453416,0.47169485424996194,0.0004558569213992947,0.4721507111713612,-12.839305750038054,-12.383448828638787,1.2600255476890831,0.04519439764067353
seed1:snapshot105,1,105,50,y,-0.007703727722676135,0.11447602926471487,0.60104859,0.5491236742655939,0.03936983152301671,0.5884935057886107,-51.92491573440605,-12.555084211389289,1.2600255476890831,0.04519439764067353
seed1:snapshot105,1,105,50,z,0.11240839000000058,0.11447602926471487,0.99580702,0.9636608688626644,0.022188784068078397,0.9858496529307429,-32.14615113733554,-9.957367069257096,1.2600255476890831,0.04519439764067353
seed1:snapshot105,1,105,51,x,-0.008753360000001821,0.06736944853883273,0.19633715,0.20171022091411636,-0.008167626484183808,0.19354259442993255,5.373070914116374,-2.794555570067442,0.772386234058745,0.015764141496057222
seed1:snapshot105,1,105,51,y,-0.004088237722675635,0.06736944853883273,0.69961234,0.7302942826725651,-0.011618032983807603,0.7186762496887575,30.68194267256508,19.063909688757484,0.772386234058745,0.015764141496057222
seed1:snapshot105,1,105,51,z,0.06667314000000069,0.06736944853883273,-0.26186789,-0.25047484176668056,-0.0068424662446906585,-0.2573173080113712,11.393048233319437,4.550581988628788,0.772386234058745,0.015764141496057222
