key,trajectory_seed,snapshot_index,displacement_RMS_A,displacement_max_A,min_pair_distance_A,reference_force_RMS_meV_A,short_force_RMS_meV_A,long_force_RMS_meV_A,total_force_RMS_meV_A,short_only_error_RMSE_meV_A,total_error_RMSE_meV_A,total_error_max_abs_meV_A,oracle_alpha,long_vs_required_residual_cosine,oracle_scaled_error_RMSE_meV_A,max_error_atom,max_error_axis,operator_force_replay_max_abs_eV_A,reference_net_force_meV_A,prediction_net_force_meV_A
seed0:snapshot069,0,69,0.09075763222085514,0.3076940526878135,1.3437571506971975,1416.525731278567,1377.8212716952316,37.88644707928007,1392.4929990626238,65.91453278728773,45.51600845497936,154.6938487747136,1.2917812908219373,0.7424918518449722,44.153185703111355,64,y,0.0,0.0009974968640273992,5.401794090987006e-12
seed0:snapshot075,0,75,0.08563283599923609,0.307838488169103,1.3467866972331703,1428.4024259304588,1401.084722283778,25.81217277903454,1417.4803987356984,53.362454668051896,44.712356945824645,214.41907620131497,1.1366479922046495,0.5498126828354954,44.573017103617985,7,x,0.0,0.0014938540791288803,1.0031404150080653e-11
seed0:snapshot081,0,81,0.10851337561579269,0.39785085339571974,1.3256803701475701,1488.2753558044892,1441.664134487677,45.864029800874455,1448.4124027641947,75.5552305351097,57.396284273562884,241.13269043936114,1.0738647063814268,0.6518643718875068,57.2962190104255,1,x,0.0,0.0016982638263511821,8.679688175308165e-12
seed0:snapshot087,0,87,0.09792841341838368,0.3609661268417023,1.3496833802765291,1293.5405262627212,1260.4735849821916,25.598998537943515,1277.7080372148878,46.195405369489364,33.32301399610537,148.24948390874715,1.2809999887284678,0.7098610040604604,32.537354434719596,51,x,0.0,0.0012868954883517893,6.579418072596012e-12
seed0:snapshot093,0,93,0.07623202840641714,0.2823975744329234,1.357269911019393,1294.575221107848,1303.7744149404325,35.86704351797562,1314.3194157402518,60.48079834760068,46.59695622487923,304.4420984492744,1.0778136096282913,0.6391778663142911,46.51329874698804,41,x,0.0,0.0017359147421545146,5.939433778177186e-12
seed0:snapshot099,0,99,0.06958354467450355,0.2306368358021004,1.3258888066123635,1504.7214875040445,1431.8028480993382,32.14680719860659,1445.9206364392803,108.60664940293925,94.36828998732274,611.8910619944442,1.898288175804495,0.5618799984205222,89.84145722184286,23,x,0.0,0.0005504543610102036,6.298008605157983e-12
seed0:snapshot105,0,105,0.05680182525754063,0.23689354509232805,1.3642285335090303,1463.854703776705,1447.2478178726628,27.513118231824958,1465.4041914963443,90.40487930831833,85.46328184080842,439.2613023011562,1.0740437116987906,0.3268661144420992,85.43899851685438,69,x,0.0,0.00044687805915387716,6.359359035643524e-12
seed0:snapshot111,0,111,0.06275408434722109,0.24153644365225668,1.3581923910886529,1345.5172796080667,1296.3928509963093,25.588980747191773,1313.7249241793459,74.69412607738366,58.23053400747763,198.23286422760367,2.171068237003425,0.7437723183207791,49.92802229685467,2,y,0.0,0.0010630616175188107,4.033640560360252e-12
seed0:snapshot117,0,117,0.06020483276481783,0.23522442432605867,1.3539040272617362,1429.5623948345917,1386.5024775259992,35.73471398701881,1397.6784960470968,80.04482797226183,63.15478790789708,254.99182091321825,1.4470260299915103,0.6460012798258096,61.10112489294967,11,y,0.0,0.0011658902178031344,5.812523845664519e-12
seed1:snapshot003,1,3,0.07790346228291482,0.2850604268975543,1.3647190305087042,1197.8111128163325,1175.6400750243981,27.04012779372222,1186.89436289381,41.30977080804694,26.39362677034805,106.89376252240434,1.1905888415520616,0.7793234819660695,25.885603937480337,29,x,0.0,0.000978263766125772,3.1801640404177665e-12
seed1:snapshot009,1,9,0.07085233884738683,0.3292532758409179,1.3487544119039374,1213.6064159752216,1197.5460978866665,41.67165853721569,1207.5624766534038,57.94591369192092,32.54192919276098,164.84069057019246,1.1618819034238035,0.8355644575296004,31.835046077161444,1,x,0.0,0.0011199107108736306,2.8435583831733384e-12
seed1:snapshot015,1,15,0.06621383772985301,0.2821159721021193,1.3482417381281813,1314.9176028995582,1271.4460382287966,33.81353455014195,1286.4694004286348,63.37215258297213,42.91655724905801,269.16680957328066,1.4507977010763993,0.7741033907027908,40.118323705810695,10,y,0.0,0.0015046926607007029,8.100471400572214e-13
seed1:snapshot021,1,21,0.07205721529499923,0.2787005650539856,1.3367925477353697,1326.0977058407918,1294.0997381221903,34.025218304756486,1309.618166835695,79.47032647101777,63.40602700761157,292.8243648884192,1.4912662337206974,0.638485600928838,61.16304683502582,21,x,0.0,0.0007706490814898025,6.565352458119964e-12
seed1:snapshot027,1,27,0.0810905842176458,0.3519210086630643,1.344726225675179,1287.5817570221084,1270.278386139427,50.42021328676612,1273.13386783298,58.72222249566902,33.75554364837939,176.1199468604806,0.9541075816075849,0.8192181037889543,33.67614241901143,14,y,0.0,0.0011182575699229785,5.686862774777048e-12
