direction,distance_from_K,q_invA,electron_eV,hole_eV,electron_hole_mean_eV
KG,0.025500000000000002,0.04342038608773086,0.2427830071450472,0.240980594728875,0.2418818009369611
KG,0.026000000000000002,0.04427176620709833,0.2476630572023466,0.24578730096133028,0.24672517908183844
KG,0.0265,0.04512314632646551,0.2525476162625284,0.25059699160009075,0.2515723039313096
KG,0.027,0.04597452644583298,0.25743667891889865,0.2554096582322585,0.25642316857557856
KG,0.0275,0.04682590656520016,0.2623302397459282,0.26022529245275594,0.26127776609934206
KG,0.028,0.04767728668456734,0.26722829330013087,0.2650438858638797,0.2661360895820053
KG,0.0285,0.04852866680393452,0.272130834120907,0.2698654300748784,0.2709981320978927
KG,0.029,0.049380046923301994,0.277037856731432,0.27468991670148135,0.2758638867164567
KG,0.029500000000000002,0.050231427042669176,0.28194935563949763,0.2795173373654942,0.28073334650249593
KG,0.03,0.05108280716203664,0.2868653253383837,0.2843476836943726,0.28560650451637815
KG,0.0305,0.05193418728140382,0.29178576030771186,0.28918094732078203,0.29048335381424695
KG,0.031,0.05278556740077101,0.29671065501431415,0.2940171198822146,0.29536388744826436
KG,0.0315,0.05363694752013819,0.30164000391307577,0.2988561930205573,0.30024809846681655
KG,0.032,0.05448832763950566,0.3065738014478119,0.30369815838169156,0.3051359799147517
KG,0.0325,0.055339707758872834,0.3115120420520927,0.3085430076151172,0.31002752483360496
KG,0.033,0.0561910878782403,0.3164547201501269,0.3133907323735303,0.3149227262618286
KG,0.0335,0.05704246799760749,0.32140183015756696,0.3182413243124631,0.31982157723501503
KG,0.034,0.05789384811697468,0.326353366482407,0.3230947750898876,0.3247240707861473
KG,0.0345,0.05874522823634185,0.33130932352577736,0.3279510763658551,0.3296301999458162
KG,0.035,0.059596608355709325,0.3362696956828306,0.33281021980213366,0.33453995774248213
KG,0.035500000000000004,0.06044798847507651,0.34123447734353207,0.33767219706181395,0.339453337202673
KG,0.036000000000000004,0.06129936859444397,0.3462036628935168,0.3425369998090102,0.3443703313512635
KG,0.0365,0.062150748713811155,0.35117724671492634,0.3474046197084535,0.3492909332116899
KG,0.037,0.06300212883317834,0.35615522318721116,0.35227504842519464,0.3542151358062029
KG,0.0375,0.06385350895254552,0.36113758668798224,0.3571482776242503,0.35914293215611626
KG,0.038,0.06470488907191299,0.3661243315938003,0.3620242989702791,0.3640743152820397
KG,0.0385,0.06555626919128016,0.3711154522809934,0.36690310412724436,0.3690092782041189
KG,0.039,0.06640764931064763,0.3761109431264775,0.3717846847581301,0.3739478139423038
KG,0.0395,0.06725902943001481,0.3811107985085518,0.3766690325245956,0.3788899155165737
KG,0.04,0.068110409549382,0.386115012807702,0.38155613908670194,0.38383557594720197
KG,0.0405,0.06896178966874918,0.39112358040738116,0.38644599610260366,0.3887847882549924
KG,0.041,0.06981316978811665,0.39613649569481235,0.39133859522826153,0.39373754546153694
KG,0.0415,0.07066454990748383,0.40115375306175993,0.3962339281171552,0.39869384058945756
KG,0.042,0.07151593002685129,0.4061753469053033,0.4011319864200247,0.403653666662664
KG,0.0425,0.07236731014621849,0.41120127162862286,0.40603276178458714,0.408617016706605
KG,0.043000000000000003,0.07321869026558567,0.4162315216417585,0.41093624585526634,0.4135838837485124
KG,0.043500000000000004,0.07407007038495285,0.4212660913623527,0.4158424302729724,0.41855426081766256
KG,0.044,0.07492145050432031,0.42630497521642363,0.4207513066748154,0.4235281409456195
KG,0.0445,0.07577283062368749,0.43134816763909223,0.4256628666938904,0.4285055171664913
KG,0.045,0.07662421074305496,0.4363956630753376,0.43057710195902876,0.4334863825171832
KG,0.0455,0.07747559086242214,0.4414474559807142,0.4354940040945765,0.43847073003764536
KG,0.046,0.07832697098178933,0.44650354082208943,0.4404135647201741,0.4434585527711318
KG,0.0465,0.07917835110115651,0.4515639120783457,0.4453357754505465,0.4484498437644461
KG,0.047,0.08002973122052398,0.45662856424111364,0.45026062789528787,0.45344459606820076
KG,0.0475,0.08088111133989116,0.4616974918154404,0.4551881136586666,0.4584428027370535
KG,0.048,0.08173249145925864,0.46677068932052546,0.46011822433943195,0.4634444568299787
KG,0.0485,0.0825838715786258,0.4718481512903723,0.46505095153063003,0.46844955141050115
KG,0.049,0.08343525169799298,0.47692987227448613,0.46998628681942334,0.47345807954695474
KG,0.0495,0.08428663181736018,0.4820158468385478,0.4749242217869134,0.4784700343127306
KG,0.05,0.08513801193672764,0.48710606956506664,0.4798647480079863,0.48348540878652646
KG,0.0505,0.08598939205609483,0.4922005350540408,0.4848078570511358,0.4885041960525883
KG,0.051000000000000004,0.0868407721754623,0.49729923792360253,0.4897535404783393,0.4935263892009709
KG,0.051500000000000004,0.08769215229482948,0.5024021728106574,0.49470178984487934,0.49855198132776835
KG,0.052000000000000005,0.08854353241419666,0.5075093343715116,0.49965259669923245,0.503580965535372
KG,0.0525,0.08939491253356384,0.5126207172824977,0.5046059525829181,0.5086133349327079
KG,0.053,0.09024629265293131,0.517736316240581,0.5095618490303853,0.5136490826354831
KG,0.0535,0.0910976727722985,0.5228561259639524,0.5145202775688977,0.518688201766425
KG,0.054,0.09194905289166597,0.5279801411926526,0.5194812297183988,0.5237306854555257
KG,0.0545,0.09280043301103313,0.5331083566891173,0.5244446969914329,0.5287765268402751
KG,0.055,0.09365181313040032,0.5382407672387886,0.5294106708930242,0.5338257190659064
KG,0.0555,0.0945031932497675,0.543377367650651,0.5343791429206011,0.538878255285626
KG,0.056,0.09535457336913497,0.5485181527578074,0.539350104563908,0.5439341286608577
KG,0.0565,0.09620595348850215,0.5536631174180124,0.5443235473049022,0.5489933323614573
KG,0.057,0.09705733360786963,0.5588122565142197,0.549299462617717,0.5540558595659684
KG,0.0575,0.0979087137272368,0.5639655649550976,0.5542778419685641,0.5591217034618309
KG,0.058,0.09876009384660399,0.5691230376755596,0.5592586768156838,0.5641908572456217
KG,0.0585,0.09961147396597117,0.5742846696372537,0.5642419586092906,0.5692633141232721
KG,0.059000000000000004,0.10046285408533863,0.5794504558290832,0.5692276787915231,0.5743390673103032
KG,0.059500000000000004,0.10131423420470582,0.5846203912676669,0.5742158287964005,0.5794181100320337
KG,0.06,0.10216561432407328,0.5897944709978375,0.5792064000497819,0.5845004355238097
