t_GK,old_band1_rel_eV,old_band2_rel_eV,matched_band1_rel_eV,matched_band2_rel_eV
0.368,-6.422755315868838,4.900495007635598,-6.405496606541238,-5.444700888523576
0.37,-6.409426314683153,4.925936712924873,-6.392182123335212,-5.4628651235557655
0.372,-6.395955794336145,4.951799811017747,-6.378758206822704,-5.481101291179071
0.374,-6.382344305963261,4.978071451649381,-6.365223593827478,-5.499415980949028
0.376,-6.368592753724529,5.0047379567116135,-6.351577282114468,-5.517815652897497
0.378,-6.354702383524235,5.031784817649573,-6.3378185455248115,-5.536306592318873
0.38,-6.340674770057491,5.059196693620998,-6.323946948456712,-5.554894863138205
0.382,-6.326511802299202,5.0869574105277575,-6.309962359875787,-5.573586259760164
0.384,-6.312215667559456,5.115049961032435,-6.295864967165805,-5.592386257182691
0.386,-6.297788834237122,5.14345650567494,-6.2816552903150065,-5.611299958988761
0.388,-6.283234033409413,5.172158375205122,-6.2673341972039225,-5.630332042570794
0.39,-6.2685542394006815,5.201136074247273,-6.252902921169605,-5.649486700546106
0.392,-6.253752649477344,5.230369286411137,-6.238363082653358,-5.668767576701621
0.394,-6.2388326628188695,5.259836880961446,-6.223716717742898,-5.68817769381339
0.396,-6.22379785891603,5.289516921154593,-6.20896631806135,-5.7077193690562815
0.398,-6.208651975548013,5.319386674346188,-6.194114889224814,-5.727394109960549
0.4,-6.1933988864891925,5.349422623967457,-6.179166039926301,-5.747202479044796
0.402,-6.1780425790943285,5.379600483461566,-6.164124122487669,-5.767143906481467
0.404,-6.162587131907599,5.409895212263162,-6.1489944623907125,-5.787216413488201
0.406,-6.1470366924372195,5.440281033895534,-6.1337837475954835,-5.807416175850026
0.40800000000000003,-6.131395455231673,5.470731456250256,-6.11850071905449,-5.827736786382646
0.41000000000000003,-6.1156676403879375,5.501219294103737,-6.103157464591385,-5.848167914392839
0.41200000000000003,-6.099857472615009,5.531716693913973,-6.087772017514647,-5.868692660994748
0.41400000000000003,-6.083969160968315,5.562195160929223,-6.07237406568078,-5.88928180479965
0.41600000000000004,-6.068006879362474,5.592625588628031,-6.057019085869733,-5.909879623351898
0.418,-6.051974747960711,5.622978290497564,-6.041829628982924,-5.930362565036381
0.42,-6.0358768155300675,5.6532230341442995,-6.027148658444613,-5.950385869312967
0.422,-6.019717042841665,5.683329077718151,-6.014348561067715,-5.968574516251811
0.424,-6.00349928718524,5.7132652086179165,-6.010550855505668,-5.9778034804804445
0.426,-5.987227288057027,5.742999784432942,-6.023649899903493,-5.970173988158615
0.428,-5.9709046540695345,5.772500776062908,-6.042932635155157,-5.95639374079766
0.43,-5.954534851121758,5.80173581294488,-6.063640286437671,-5.941215183472453
0.432,-5.938121191857754,5.8306722303044625,-6.084856488315765,-5.9255473523426705
0.434,-5.921666826431722,5.859277118335839,-6.106319530250625,-5.9096436048525
0.436,-5.905174734587859,5.887517373203986,-6.127922747568807,-5.893601207745066
0.438,-5.888647719053631,5.915359749751534,-6.14960946947058,-5.877466371494696
0.44,-5.872088400236243,5.942770915782347,-6.171342567280277,-5.861264688124077
0.442,-5.855499212203239,5.9697175077844165,-6.193093493422223,-5.8450120820798315
0.444,-5.8388823999201565,5.996166187945857,-6.214837694409285,-5.828719391022368
0.446,-5.822240017710528,6.022083702309795,-6.236552469999873,-5.812394504501977
0.448,-5.805573928896515,6.0474369399067305,-6.258215890601669,-5.796043448554952
0.45,-5.7888858065720425,6.072192992696832,-6.279806217414503,-5.7796709718221635
0.452,-5.7721771354546805,6.09631921614909,-6.301301580245774,-5.763280878334394
0.454,-5.755449214757221,6.119783290279878,-6.3226797960792265,-5.746876223942589
0.456,-5.738703162015617,6.142553280969933,-6.343918268896045,-5.73045943593424
0.458,-5.721939917806094,6.164597701376152,-6.364993938775518,-5.714032387829519
0.46,-5.7051602512811295,6.185885573252733,-6.385883262271683,-5.6975964473611675
0.462,-5.688364766451502,6.206386487995659,-6.406562213503026,-5.681152508181793
0.464,-5.671553909139765,6.22607066722424,-6.427006299523249,-5.664701011690015
0.466,-5.654727974529199,6.244909022714635,-6.447190585919499,-5.64824196296842
0.468,-5.637887115231709,6.262873215501716,-6.467089729997108,-5.631774943392292
0.47000000000000003,-5.621031349797824,6.27993571396844,-6.486678019772658,-5.61529912158478
0.47200000000000003,-5.604160571592636,6.296069850744821,-6.505929417536837,-5.598813263834009
0.47400000000000003,-5.587274557962112,6.311249878242884,-6.524817607092999,-5.58231574472234
0.47600000000000003,-5.570372979615626,6.325451022658402,-6.5433160440016245,-5.565804558474207
0.47800000000000004,-5.553455410152474,6.338649536275531,-6.561398008308789,-5.549277331361198
0.48,-5.53652133566196,6.3508227479163315,-6.5790366593356016,-5.5327313353852166
0.482,-5.519570164329392,6.361949111383514,-6.5962050921725215,-5.516163503375248
0.484,-5.5026012359828345,6.372008251751572,-6.6128763955680885,-5.499570445570413
0.486,-5.485613831518722,6.380981009368812,-6.629023710932557,-5.482948467713689
0.488,-5.468607182147568,6.38884948144049,-6.644620292199042,-5.4662935906438666
0.49,-5.45158047840443,6.395597061071248,-6.659639566299058,-5.4496015713431145
