smearing_degauss_Ry,lattice_temperature_K,direction,signed_q_2pi_over_a,q1,q2,MLIP_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_raw_6x6_cm-1,DFT_TDEP_wave1_plus_full_EPC_LR_cm-1,DFT_TDEP_wave2_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_plus_full_EPC_LR_cm-1
0.0019000869,300,KG,-0.032,0.3173333333333333,0.3173333333333333,1302.68800740502,1283.0501872495222,1304.1060786717155,1315.0913417504476,1299.9332249489328
0.0019000869,300,KG,-0.03166666666666666,0.3175,0.3175,1302.502447679318,1283.0015931757457,1303.9440602351922,1314.9408703832523,1299.773861049719
0.0019000869,300,KG,-0.03133333333333333,0.31766666666666665,0.31766666666666665,1302.2964889510429,1282.95348124534,1303.7614697922963,1314.7699057831524,1299.5938385278255
0.0019000869,300,KG,-0.031,0.31783333333333336,0.31783333333333336,1302.0885124163535,1282.9058521621448,1303.5766672367824,1314.5966542475437,1299.4115759358233
0.0019000869,300,KG,-0.030666666666666665,0.318,0.318,1301.8980077183326,1282.8587066262987,1303.4091183114044,1314.440417919015,1299.2466011054205
0.0019000869,300,KG,-0.03033333333333333,0.31816666666666665,0.31816666666666665,1301.6802882158358,1282.8120453342062,1303.214186646012,1314.2569346701978,1299.0541343630384
0.0019000869,300,KG,-0.03,0.3183333333333333,0.3183333333333333,1301.4796288535456,1282.7658689785098,1303.0360943464896,1314.0900551165323,1298.8785392005987
0.0019000869,300,KG,-0.029666666666666664,0.3185,0.3185,1301.2762055500752,1282.7201782480565,1302.8550390871903,1313.920142914668,1298.6999495783145
0.0019000869,300,KG,-0.02933333333333333,0.31866666666666665,0.31866666666666665,1301.0519820607965,1282.6749738278686,1302.6530055730334,1313.7293344493808,1298.5002923170969
0.0019000869,300,KG,-0.029,0.31883333333333336,0.31883333333333336,1300.8512934891896,1282.6302563991123,1302.4742733773573,1313.5615358524594,1298.3239883418073
0.0019000869,300,KG,-0.028666666666666667,0.319,0.319,1300.6278879201184,1282.5860266390694,1302.2726464619318,1313.3709404912015,1298.1246936250525
0.0019000869,300,KG,-0.028333333333333335,0.31916666666666665,0.31916666666666665,1300.39831903754,1282.5422852211009,1302.064657146102,1313.1739411882297,1297.9189930997636
0.0019000869,300,KG,-0.028,0.3193333333333333,0.3193333333333333,1300.1845814410358,1282.4990328146193,1301.8722705038651,1312.992316876009,1297.728921712428
0.0019000869,300,KG,-0.027666666666666666,0.3195,0.3195,1299.9567261334703,1282.4562700850565,1301.6655747646084,1312.796408662773,1297.524471887763
0.0019000869,300,KG,-0.027333333333333334,0.31966666666666665,0.31966666666666665,1299.7597268400675,1282.4139976938336,1301.4894832800014,1312.6307487890892,1297.3507000360903
0.0019000869,300,KG,-0.027,0.31983333333333336,0.31983333333333336,1299.5623943270266,1282.3722162983254,1301.3128459974137,1312.464450755808,1297.1763563712846
0.0019000869,300,KG,-0.026666666666666665,0.32,0.32,1299.3423941469741,1282.3309265518321,1301.113357629374,1312.275398729013,1296.9790642304583
0.0019000869,300,KG,-0.026333333333333334,0.32016666666666665,0.32016666666666665,1299.142493834184,1282.2901291035473,1300.9337266553691,1312.1059378674463,1296.8016679860332
0.0019000869,300,KG,-0.026,0.3203333333333333,0.3203333333333333,1298.921885309302,1282.2498245985237,1300.7331996399087,1311.915661288378,1296.6032840462922
0.0019000869,300,KG,-0.025666666666666664,0.3205,0.3205,1298.6980001527825,1282.2100136776423,1300.529183364337,1311.7218275246578,1296.401374413348
0.0019000869,300,KG,-0.025333333333333333,0.32066666666666666,0.32066666666666666,1298.488500033678,1282.1706969775812,1300.3393132960891,1311.541921216832,1296.2136304220026
0.0019000869,300,KG,-0.024999999999999998,0.32083333333333336,0.32083333333333336,1298.2545368124138,1282.1318751307808,1300.1247953227464,1311.3374793016235,1296.001134201876
0.0019000869,300,KG,-0.024666666666666663,0.321,0.321,1298.035199814882,1282.0935487654135,1299.9246618730192,1311.1472004881493,1295.8030421384267
0.0019000869,300,KG,-0.024333333333333332,0.32116666666666666,0.32116666666666666,1297.8134444776615,1282.0557185053485,1299.7218915799797,1310.954208588816,1295.6022784213098
