signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.0014299999999999998,1283.0950612462354,1285.1168942725524,1285.179900915001,-0.06300664244872678
-0.0014249999999999998,1283.0917716184813,1285.1136046447982,1285.176491488817,-0.06288684401874889
-0.00142,1283.0884809731554,1285.1103139994723,1285.1730820626328,-0.06276806316054717
-0.001415,1283.0851893387655,1285.1070223650825,1285.1696726364485,-0.0626502713660102
-0.00141,1283.081896743818,1285.103729770135,1285.1662632102643,-0.06253344012930029
-0.001405,1283.0786032168207,1285.1004362431377,1285.1628537840802,-0.06241754094253338
-0.0014,1283.07530878628,1285.0971418125969,1285.1594443578958,-0.062302545298962286
-0.001395,1283.0720134807036,1285.0938465070205,1285.1560349317117,-0.06218842469115771
-0.00139,1283.068717328598,1285.090550354915,1285.1526255055276,-0.06207515061259983
-0.001385,1283.0654203584709,1285.0872533847878,1285.1492160793432,-0.061962694555404596
-0.00138,1283.0621225988289,1285.0839556251458,1285.145806653159,-0.061851028013279574
-0.001375,1283.0588240781797,1285.0806571044966,1285.142397226975,-0.06174012247834071
-0.00137,1283.0555248250296,1285.0773578513465,1285.1389878007906,-0.06162994944406819
-0.001365,1283.0522248678863,1285.0740578942032,1285.1355783746064,-0.06152048040326008
-0.0013599999999999999,1283.0489242352562,1285.0707572615731,1285.1321689484223,-0.0614116868491692
-0.0013549999999999999,1283.0456229556473,1285.0674559819643,1285.128759522238,-0.06130354027368412
-0.0013499999999999999,1283.042321057566,1285.0641540838828,1285.1253500960538,-0.06119601217096715
-0.0013449999999999998,1283.0390185695198,1285.0608515958368,1285.1219406698697,-0.061089074032906865
-0.0013399999999999998,1283.0357155200154,1285.0575485463323,1285.1185312436853,-0.06098269735298345
-0.001335,1283.0324119375603,1285.0542449638772,1285.1151218175012,-0.060876853623994975
-0.00133,1283.0291078506611,1285.050940876978,1285.111712391317,-0.06077151433896688
-0.001325,1283.0258032878257,1285.0476363141427,1285.1083029651327,-0.060666650990015114
-0.00132,1283.0224982775603,1285.0443313038772,1285.1048935389485,-0.060562235071301984
-0.001315,1283.0191928483725,1285.0410258746895,1285.1014841127644,-0.06045823807494344
-0.00131,1283.0158870287692,1285.037720055086,1285.09807468658,-0.060354631493964916
-0.001305,1283.0125808472576,1285.0344138735745,1285.094665260396,-0.06025138682139186
-0.0013,1283.0092743323446,1285.0311073586615,1285.0912558342118,-0.060148475550249714
-0.001295,1283.0059675125376,1285.0278005388545,1285.0878464080274,-0.060045869172881794
-0.00129,1283.0026604163436,1285.0244934426605,1285.0844369818433,-0.05994353918276829
-0.001285,1282.9993530722693,1285.0211860985862,1285.0810275556591,-0.059841457072934645
