signed_equal_distance_from_K,short_range_MLIP_cm-1,MLIP_plus_qspace_long_range_cm-1
-0.0129375,1380.0737011898034,1291.990597794327
-0.01279375,1380.0736339546252,1291.8708083595636
-0.01265,1380.0735674007274,1291.7510078162281
-0.01250625,1380.0735015292923,1291.6311961612307
-0.0123625,1380.0734363415168,1291.5113733914786
-0.01221875,1380.073371838612,1291.3915395038769
-0.012074999999999999,1380.0733080218022,1291.2716944953308
-0.01193125,1380.073244892325,1291.1518383627438
-0.0117875,1380.073182451432,1291.0319711030172
-0.01164375,1380.0731207003878,1290.9120927130525
-0.0115,1380.0730596404708,1290.7922031897476
-0.01135625,1380.0729992729734,1290.67230253
-0.0112125,1380.072939599201,1290.5523907307072
-0.01106875,1380.072880620474,1290.4324677887612
-0.010925,1380.0728223381234,1290.3125337010583
-0.01078125,1380.0727647534977,1290.1925884644875
-0.0106375,1380.072707867956,1290.0726320759402
-0.01049375,1380.0726516828727,1289.952664532305
-0.01035,1380.0725961996338,1289.8326858304706
-0.01020625,1380.0725414196422,1289.7126959673208
-0.0100625,1380.0724873443116,1289.592694939741
-0.00991875,1380.0724339750698,1289.472682744615
-0.009774999999999999,1380.0723813133593,1289.352659378824
-0.00963125,1380.0723293606356,1289.232624839247
-0.0094875,1380.072278118367,1289.1125791227646
-0.00934375,1380.0722275880373,1288.992522226252
-0.0092,1380.0721777711422,1288.872454146587
-0.00905625,1380.0721286691914,1288.7523748806425
-0.0089125,1380.0720802837102,1288.6322844252918
-0.00876875,1380.0720326162339,1288.512182777406
-0.008625,1380.0719856683145,1288.392069933856
-0.00848125,1380.0719394415164,1288.2719458915096
-0.0083375,1380.0718939374176,1288.1518106472333
-0.00819375,1380.0718491576097,1288.0316641978943
-0.00805,1380.0718051036993,1287.9115065403553
-0.00790625,1380.0717617773048,1287.791337671479
-0.0077625,1380.0717191800586,1287.6711575881272
-0.00761875,1380.0716773136076,1287.5509662871593
-0.007475,1380.071636179613,1287.4307637654333
-0.00733125,1380.0715957797468,1287.3105500198064
-0.0071874999999999994,1380.0715561156971,1287.1903250471344
-0.00704375,1380.071517189165,1287.0700888442705
-0.0069,1380.0714790018656,1286.949841408066
-0.00675625,1380.071441555527,1286.8295827353743
-0.0066125,1380.071404851891,1286.709312823043
-0.00646875,1380.0713688927137,1286.5890316679208
-0.006325,1380.0713336797646,1286.4687392668538
-0.00618125,1380.0712992148265,1286.3484356166873
-0.0060374999999999995,1380.0712654996964,1286.2281207142644
-0.00589375,1380.0712325361847,1286.107794556428
-0.00575,1380.0712003261146,1285.987457140018
-0.00560625,1380.071168871325,1285.8671084618736
-0.0054625,1380.0711381736676,1285.7467485188315
-0.00531875,1380.0711082350058,1285.6263773077312
-0.005175,1380.0710790572202,1285.505994825403
-0.00503125,1380.071050642202,1285.385601068683
-0.0048874999999999995,1380.0710229918577,1285.2651960344024
-0.00474375,1380.070996108108,1285.14477971939
-0.0046,1380.070969992885,1285.0243521204764
-0.00445625,1380.0709446481374,1284.903913234487
-0.0043125,1380.0709200758233,1284.783463058251
-0.00416875,1380.0708962779208,1284.6630015885876
-0.004025,1380.0708732564149,1284.542528822324
-0.00388125,1380.0708510133093,1284.422044756279
-0.0037375,1380.0708295506195,1284.301549387273
-0.0035937499999999997,1380.0708088703745,1284.181042712125
-0.00345,1380.0707889746163,1284.0605247276517
-0.00330625,1380.0707698654032,1283.939995430667
-0.0031625,1380.070751544804,1283.8194548179865
-0.0030187499999999997,1380.0707340149033,1283.6989028864216
-0.002875,1380.0707172777993,1283.578339632783
-0.00273125,1380.0707013356023,1283.4577650538804
-0.0025875,1380.0706861904375,1283.337179146522
-0.0024437499999999997,1380.0706718444449,1283.2165819075133
-0.0023,1380.0706582997748,1283.09597333366
-0.00215625,1380.0706455585944,1282.9753534217648
-0.0020125,1380.0706336230837,1282.85472216863
-0.00186875,1380.0706224954356,1282.7340795710559
-0.001725,1380.0706121778578,1282.6134256258401
-0.00158125,1380.0706026725702,1282.4927603297822
-0.0014375,1380.0705939818076,1282.3720836796763
-0.00129375,1380.070586107819,1282.2513956723171
-0.00115,1380.0705790528652,1282.1306963044967
-0.00100625,1380.0705728192222,1282.009985573008
-0.0008625,1380.0705674091787,1281.8892634746396
-0.00071875,1380.0705628250382,1281.7685300061803
-0.000575,1380.0705590691166,1281.6477851644165
-0.00043125,1380.0705561437458,1281.5270289461332
-0.0002875,1380.070554051267,1281.4062613481153
-0.00014375,1380.0705527940395,1281.2854823671441
0.0,1380.070552374435,1281.1646919999996
0.00014375,1380.070552794837,1281.2825773161653
0.0002875,1380.070554057645,1281.4004517872065
0.00043125,1380.0705561652715,1281.5183154161152
0.000575,1380.0705591201413,1281.636168205883
0.00071875,1380.0705629246952,1281.7540101595005
0.0008625,1380.0705675813863,1281.8718412799547
0.00100625,1380.0705730926816,1281.989661570233
0.00115,1380.070579461061,1282.107471033322
0.00129375,1380.0705866890196,1282.2252696722064
0.0014375,1380.0705947790643,1282.343057489868
0.00158125,1380.070603733718,1282.4608344892893
0.001725,1380.0706135555154,1282.57860067345
0.00186875,1380.0706242470062,1282.696356045329
0.0020125,1380.0706358107511,1282.8141006079052
0.00215625,1380.070648249329,1282.9318343641517
0.0023,1380.0706615653278,1283.0495573170463
0.0024437499999999997,1380.0706757613518,1283.1672694695608
0.0025875,1380.0706908400182,1283.2849708246686
0.00273125,1380.0707068039583,1283.4026613853391
0.002875,1380.0707236558153,1283.5203411545424
0.0030187499999999997,1380.0707413982493,1283.6380101352452
0.0031625,1380.0707600339313,1283.7556683304158
0.00330625,1380.0707795655455,1283.8733157430197
0.00345,1380.0707999957929,1283.9909523760193
0.0035937499999999997,1380.0708213273863,1284.1085782323767
0.0037375,1380.0708435630506,1284.2261933150553
0.00388125,1380.070866705527,1284.3437976270127
0.004025,1380.0708907575688,1284.4613911712092
0.00416875,1380.0709157219433,1284.578973950601
0.0043125,1380.0709416014317,1284.6965459681435
0.00445625,1380.070968398828,1284.8141072267933
0.0046,1380.0709961169412,1284.9316577295003
0.00474375,1380.0710247585923,1285.049197479219
0.0048874999999999995,1380.0710543266184,1285.1667264788966
0.00503125,1380.0710848238664,1285.2842447314852
0.005175,1380.0711162532,1285.401752239931
0.00531875,1380.0711486174962,1285.5192490071804
0.0054625,1380.0711819196435,1285.636735036179
0.00560625,1380.0712161625463,1285.7542103298706
0.00575,1380.0712513491221,1285.8716748911957
0.00589375,1380.071287482301,1285.9891287230962
0.0060374999999999995,1380.071324565027,1286.106571828513
0.00618125,1380.0713626002591,1286.2240042103829
0.006325,1380.0714015909682,1286.341425871643
0.00646875,1380.07144154014,1286.4588368152292
0.0066125,1380.0714824507718,1286.5762370440755
0.00675625,1380.0715243258776,1286.6936265611153
0.0069,1380.0715671684827,1286.8110053692792
0.00704375,1380.0716109816262,1286.9283734714982
0.0071874999999999994,1380.0716557683616,1287.0457308707007
